dataset,best_regressor
ASHRAEGreatEnergyPredictorChilledWater,InceptionE
ASHRAEGreatEnergyPredictorElectricity,RandF
ASHRAEGreatEnergyPredictorHotwater,InceptionE
ASHRAEGreatEnergyPredictorSteam,InceptionE
AcousticContaminationMadrid-no-missing,FreshPRINCE
AfricaSoilAlphaKBrAluminium,RotF
AfricaSoilAlphaKBrBoron,InceptionE
AfricaSoilAlphaKBrCopper,DrCIF
AfricaSoilAlphaZnSeIron,MultiROCKET
AfricaSoilAlphaZnSeManganese,RotF
AfricaSoilAlphaZnSeSodium,DrCIF
AfricaSoilHTSXTMagnesium,InceptionE
AfricaSoilHTSXTPhosphorus,InceptionE
AfricaSoilHTSXTPotassium,DrCIF
AfricaSoilMPACalcium,RotF
AfricaSoilMPASulphur,DrCIF
AfricaSoilMPAZinc,MultiROCKET
AppliancesEnergy,FreshPRINCE
BIDMC32HR,InceptionE
BIDMC32RR,MultiROCKET
BIDMC32SpO2,InceptionE
BarCrawl6min,DrCIF
BeijingIntAirportPM25Quality,RotF
BeijingPM10Quality-no-missing,InceptionE
BeijingPM25Quality-no-missing,InceptionE
BenzeneConcentration-no-missing,InceptionE
BinanceCoinSentiment,DrCIF
BitcoinSentiment,DrCIF
CardanoSentiment,RandF
Covid19Andalusia,FreshPRINCE
Covid3Month,FreshPRINCE
DailyOilGasPrices,FreshPRINCE
DailyTemperatureLatitude,InceptionE
DhakaHourlyAirQuality,FreshPRINCE
ElectricMotorTemperature,FreshPRINCE
EthereumSentiment,DrCIF
FloodModeling1,InceptionE
FloodModeling2,MultiROCKET
FloodModeling3,MultiROCKET
GasSensorArrayAcetone,MultiROCKET
GasSensorArrayEthanol,RotF
HouseholdPowerConsumption1-no-missing,FreshPRINCE
HouseholdPowerConsumption2-no-missing,MultiROCKET
IEEEPPG,InceptionE
LPGasMonitoringHomeActivity,DrCIF
LiveFuelMoistureContent,DrCIF
MadridPM10Quality-no-missing,InceptionE
MethaneMonitoringHomeActivity,DrCIF
MetroInterstateTrafficVolume,DrCIF
NaturalGasPricesSentiment,TSF
NewsHeadlineSentiment,TSF
NewsTitleSentiment,TSF
OccupancyDetectionLight,FreshPRINCE
PPGDalia-equal-length,InceptionE
ParkingBirmingham-equal-length,RotF
PrecipitationAndalusia-no-missing,ROCKET
SierraNevadaMountainsSnow,InceptionE
SolarRadiationAndalusia-no-missing,FreshPRINCE
TetuanEnergyConsumption,DrCIF
VentilatorPressure,InceptionE
WaveDataTension,FreshPRINCE
WindTurbinePower,FreshPRINCE
