dataset,best_estimator,predicted_estimator,acc
ACSF1,HC2,FreshPRINCE,0.8
AconityMINIPrinterLargeEq,InceptionT,RSTSF,0.9433277027027028
AconityMINIPrinterSmallEq,HC2,InceptionT,0.972831050228311
Adiac,Hydra-MR,WEASEL-D,0.8178175618073315
AllGestureWiimoteXEq,InceptionT,FreshPRINCE,0.6882380952380952
AllGestureWiimoteYEq,InceptionT,FreshPRINCE,0.7142857142857143
AllGestureWiimoteZEq,InceptionT,FreshPRINCE,0.6749047619047618
ArrowHead,Hydra-MR,WEASEL-D,0.8851428571428571
AsphaltObstaclesUniEq,InceptionT,FreshPRINCE,0.8572037510656435
AsphaltPavementTypeUniEq,InceptionT,FreshPRINCE,0.9293244949494952
AsphaltRegularityUniEq,RSTSF,FreshPRINCE,0.9865956502441188
BME,Hydra-MR,WEASEL-D,0.9924444444444444
Beef,RSTSF,WEASEL-D,0.7766666666666667
BeetleFly,WEASEL-D,WEASEL-D,0.9466666666666664
BirdChicken,RSTSF,RDST,0.9133333333333332
CBF,HC2,FreshPRINCE,0.9876666666666664
Car,RDST,RDST,0.9377777777777776
Chinatown,RSTSF,HC2,0.9700680272108844
ChlorineConcentration,InceptionT,FreshPRINCE,0.7750086805555553
CinCECGTorso,HC2,HC2,0.9969806763285026
Coffee,Hydra-MR,WEASEL-D,0.9976190476190476
Colposcopy,RSTSF,PF,0.3290429042904291
Computers,Hydra-MR,RDST,0.8216
Covid3MonthDiscrete,HC2,RSTSF,0.7914285714285716
CricketX,InceptionT,WEASEL-D,0.8151282051282053
CricketY,InceptionT,WEASEL-D,0.8152991452991454
CricketZ,InceptionT,WEASEL-D,0.8280341880341882
Crop,InceptionT,FreshPRINCE,0.7679146825396825
DiatomSizeReduction,PF,RDST,0.9449891067538124
DistalPhalanxOutlineAgeGroup,WEASEL-D,WEASEL-D,0.816786570743405
DistalPhalanxOutlineCorrect,Hydra-MR,WEASEL-D,0.8352657004830917
DistalPhalanxTW,HC2,WEASEL-D,0.7050359712230214
DodgerLoopDayNmv,RSTSF,PF,0.5883116883116883
DodgerLoopGameNmv,PF,RSTSF,0.8551181102362201
DodgerLoopWeekendNmv,RSTSF,PF,0.9846560846560846
ECG200,Hydra-MR,FreshPRINCE,0.8533333333333334
ECG5000,HC2,FreshPRINCE,0.9448888888888888
ECGFiveDays,FreshPRINCE,FreshPRINCE,0.999690282617112
EOGHorizontalSignal,InceptionT,HC2,0.8149171270718232
EOGVerticalSignal,InceptionT,HC2,0.7862799263351749
Earthquakes,RSTSF,FreshPRINCE,0.7508393285371703
ElectricDeviceDetection,Hydra-MR,RSTSF,0.898469568294409
ElectricDevices,FreshPRINCE,FreshPRINCE,0.9083387368694074
EthanolLevel,InceptionT,HC2,0.834533333333333
FaceAll,HC2,FreshPRINCE,0.9431952662721894
FaceFour,RDST,FreshPRINCE,0.8306818181818183
FacesUCR,InceptionT,FreshPRINCE,0.8892357723577238
FiftyWords,Hydra-MR,WEASEL-D,0.814578754578755
Fish,HC2,RDST,0.9841904761904762
FloodModeling1Discrete,FreshPRINCE,FreshPRINCE,0.9694267515923568
FloodModeling2Discrete,Hydra-MR,FreshPRINCE,0.9829756795422028
FloodModeling3Discrete,FreshPRINCE,FreshPRINCE,0.9743589743589745
FordA,FreshPRINCE,FreshPRINCE,1.0
FordB,InceptionT,FreshPRINCE,0.920699588477366
FreezerRegularTrain,RSTSF,WEASEL-D,0.9956023391812866
FreezerSmallTrain,HC2,WEASEL-D,0.9449590643274852
GestureMidAirD1Eq,HC2,Hydra-MR,0.7735897435897436
GestureMidAirD2Eq,HC2,Hydra-MR,0.6366666666666665
GestureMidAirD3Eq,HC2,InceptionT,0.3851282051282051
GesturePebbleZ1Eq,RDST,RDST,0.9713178294573642
GesturePebbleZ2Eq,RDST,RDST,0.9748945147679328
GunPoint,HC2,WEASEL-D,0.9955555555555552
GunPointAgeSpan,PF,RSTSF,0.9872362869198312
GunPointMaleVersusFemale,Hydra-MR,PF,0.9993670886075948
GunPointOldVersusYoung,Hydra-MR,PF,1.0
Ham,WEASEL-D,WEASEL-D,0.8615873015873018
HandOutlines,Hydra-MR,InceptionT,0.942972972972973
Haptics,RDST,InceptionT,0.537012987012987
Herring,RDST,RDST,0.6380208333333334
