dataset,best_estimator,predicted_estimator,acc
ACSF1,HC2,InceptionT,0.8266666666666664
AconityMINIPrinterLargeEq,InceptionT,HC2,0.9546734234234237
AconityMINIPrinterSmallEq,HC2,Hydra-MR,0.9775114155251146
Adiac,Hydra-MR,WEASEL-D,0.8178175618073315
AllGestureWiimoteXEq,InceptionT,InceptionT,0.8183333333333334
AllGestureWiimoteYEq,InceptionT,InceptionT,0.8462857142857143
AllGestureWiimoteZEq,InceptionT,InceptionT,0.7810952380952382
ArrowHead,Hydra-MR,WEASEL-D,0.8851428571428571
AsphaltObstaclesUniEq,InceptionT,InceptionT,0.9117647058823528
AsphaltPavementTypeUniEq,InceptionT,InceptionT,0.9324810606060604
AsphaltRegularityUniEq,RSTSF,HC2,0.9789613848202398
BME,Hydra-MR,HC2,1.0
Beef,RSTSF,Hydra-MR,0.7633333333333331
BeetleFly,WEASEL-D,Hydra-MR,0.9116666666666666
BirdChicken,RSTSF,Hydra-MR,0.91
CBF,HC2,Hydra-MR,0.9929259259259258
Car,RDST,Hydra-MR,0.9283333333333332
Chinatown,RSTSF,RSTSF,0.9756073858114674
ChlorineConcentration,InceptionT,InceptionT,0.8636111111111112
CinCECGTorso,HC2,Hydra-MR,0.9772222222222224
Coffee,Hydra-MR,RSTSF,1.0
Colposcopy,RSTSF,InceptionT,0.3768976897689769
Computers,Hydra-MR,HC2,0.8556000000000001
Covid3MonthDiscrete,HC2,HC2,0.8147619047619049
CricketX,InceptionT,InceptionT,0.8533333333333332
CricketY,InceptionT,HC2,0.84991452991453
CricketZ,InceptionT,InceptionT,0.8609401709401711
Crop,InceptionT,FreshPRINCE,0.7679146825396825
DiatomSizeReduction,PF,RDST,0.9449891067538124
DistalPhalanxOutlineAgeGroup,WEASEL-D,HC2,0.8110311750599519
DistalPhalanxOutlineCorrect,Hydra-MR,WEASEL-D,0.8352657004830917
DistalPhalanxTW,HC2,WEASEL-D,0.7050359712230214
DodgerLoopDayNmv,RSTSF,RSTSF,0.6268398268398269
DodgerLoopGameNmv,PF,RSTSF,0.8551181102362201
DodgerLoopWeekendNmv,RSTSF,RSTSF,0.9854497354497354
ECG200,Hydra-MR,HC2,0.886666666666667
ECG5000,HC2,HC2,0.948422222222222
ECGFiveDays,FreshPRINCE,Hydra-MR,0.9905923344947736
EOGHorizontalSignal,InceptionT,Hydra-MR,0.8718232044198894
EOGVerticalSignal,InceptionT,Hydra-MR,0.8075506445672194
Earthquakes,RSTSF,HC2,0.7472422062350119
ElectricDeviceDetection,Hydra-MR,HC2,0.8886058032554848
ElectricDevices,FreshPRINCE,RSTSF,0.8790213115462758
EthanolLevel,InceptionT,Hydra-MR,0.7213333333333333
FaceAll,HC2,Hydra-MR,0.9843589743589743
FaceFour,RDST,WEASEL-D,0.9045454545454548
FacesUCR,InceptionT,HC2,0.975040650406504
FiftyWords,Hydra-MR,Hydra-MR,0.8455677655677659
Fish,HC2,Hydra-MR,0.9815238095238096
FloodModeling1Discrete,FreshPRINCE,InceptionT,0.9599433828733192
FloodModeling2Discrete,Hydra-MR,InceptionT,0.9809728183118736
FloodModeling3Discrete,FreshPRINCE,InceptionT,0.9574203574203576
FordA,FreshPRINCE,InceptionT,0.9590404040404042
FordB,InceptionT,FreshPRINCE,0.920699588477366
FreezerRegularTrain,RSTSF,Hydra-MR,0.9984444444444448
FreezerSmallTrain,HC2,Hydra-MR,0.9881169590643272
GestureMidAirD1Eq,HC2,HC2,0.7776923076923077
GestureMidAirD2Eq,HC2,HC2,0.653076923076923
GestureMidAirD3Eq,HC2,InceptionT,0.3851282051282051
GesturePebbleZ1Eq,RDST,InceptionT,0.971124031007752
GesturePebbleZ2Eq,RDST,InceptionT,0.968143459915612
GunPoint,HC2,HC2,0.999111111111111
GunPointAgeSpan,PF,HC2,0.9963080168776368
GunPointMaleVersusFemale,Hydra-MR,HC2,0.9998945147679325
GunPointOldVersusYoung,Hydra-MR,HC2,0.99989417989418
Ham,WEASEL-D,HC2,0.8612698412698416
HandOutlines,Hydra-MR,Hydra-MR,0.9524324324324328
Haptics,RDST,Hydra-MR,0.5359307359307358
Herring,RDST,WEASEL-D,0.603125
HouseTwenty,HC2,InceptionT,0.9532212885154064
InlineSkate,RSTSF,Hydra-MR,0.5078787878787877
InsectEPGRegularTrain,Hydra-MR,Hydra-MR,1.0
InsectEPGSmallTrain,PF,Hydra-MR,0.9847389558232932
InsectWingbeatSound,Hydra-MR,InceptionT,0.6273569023569024
ItalyPowerDemand,RSTSF,InceptionT,0.960349854227405
KeplerLightCurves,FreshPRINCE,Hydra-MR,0.924561403508772
LargeKitchenAppliances,InceptionT,FreshPRINCE,0.8929777777777778
Lightning2,PF,InceptionT,0.8169398907103825
Lightning7,InceptionT,InceptionT,0.8205479452054795
Mallat,HC2,Hydra-MR,0.9527789623312012
Meat,HC2,Hydra-MR,0.9844444444444446
MedicalImages,RSTSF,HC2,0.8101315789473683
MelbournePedestrianNmv,RSTSF,HC2,0.9380336351875812
MiddlePhalanxOutlineAgeGroup,WEASEL-D,Hydra-MR,0.6569264069264069
MiddlePhalanxOutlineCorrect,Hydra-MR,WEASEL-D,0.8336769759450176
MiddlePhalanxTW,RSTSF,Hydra-MR,0.5471861471861471
MixedShapesRegularTrain,Hydra-MR,Hydra-MR,0.981745704467354
MixedShapesSmallTrain,Hydra-MR,Hydra-MR,0.9589553264604812
MoteStrain,WEASEL-D,Hydra-MR,0.9039669861554844
NonInvasiveFetalECGThorax1,Hydra-MR,Hydra-MR,0.9601017811704834
