dataset,best_estimator,predicted_estimator,acc
ACSF1,HC2,RDST,0.8326666666666664
AconityMINIPrinterLargeEq,InceptionT,RDST,0.9581644144144144
AconityMINIPrinterSmallEq,HC2,RDST,0.975570776255708
Adiac,Hydra-MR,RDST,0.7398976982097187
AllGestureWiimoteXEq,InceptionT,RDST,0.7103333333333333
AllGestureWiimoteYEq,InceptionT,RDST,0.7328095238095238
AllGestureWiimoteZEq,InceptionT,RDST,0.6776190476190476
ArrowHead,Hydra-MR,RDST,0.8782857142857143
AsphaltObstaclesUniEq,InceptionT,RDST,0.8799658994032395
AsphaltPavementTypeUniEq,InceptionT,RDST,0.8923926767676769
AsphaltRegularityUniEq,RSTSF,RDST,0.9769196626719928
BME,Hydra-MR,RDST,0.9822222222222224
Beef,RSTSF,RDST,0.7422222222222222
BeetleFly,WEASEL-D,RDST,0.9266666666666664
BirdChicken,RSTSF,RDST,0.9133333333333332
CBF,HC2,HC2,0.9964814814814812
Car,RDST,RDST,0.9377777777777776
Chinatown,RSTSF,RDST,0.9684159378036928
ChlorineConcentration,InceptionT,Hydra-MR,0.7831597222222223
CinCECGTorso,HC2,RDST,0.9821256038647344
Coffee,Hydra-MR,RDST,0.9952380952380954
Colposcopy,RSTSF,RDST,0.396039603960396
Computers,Hydra-MR,Hydra-MR,0.8673333333333333
Covid3MonthDiscrete,HC2,RDST,0.7902380952380953
CricketX,InceptionT,RDST,0.8352991452991453
CricketY,InceptionT,Hydra-MR,0.8441025641025642
CricketZ,InceptionT,Hydra-MR,0.8469230769230769
Crop,InceptionT,RSTSF,0.7735714285714287
DiatomSizeReduction,PF,RDST,0.9449891067538124
DistalPhalanxOutlineAgeGroup,WEASEL-D,RDST,0.80431654676259
DistalPhalanxOutlineCorrect,Hydra-MR,HC2,0.8275362318840578
DistalPhalanxTW,HC2,RDST,0.7052757793764987
DodgerLoopDayNmv,RSTSF,RDST,0.6108225108225108
DodgerLoopGameNmv,PF,RDST,0.8083989501312335
DodgerLoopWeekendNmv,RSTSF,RDST,0.9835978835978832
ECG200,Hydra-MR,RDST,0.8886666666666668
ECG5000,HC2,Hydra-MR,0.9475703703703702
ECGFiveDays,FreshPRINCE,RDST,0.9933023615950446
EOGHorizontalSignal,InceptionT,RDST,0.7794659300184161
EOGVerticalSignal,InceptionT,RDST,0.7267034990791895
Earthquakes,RSTSF,Hydra-MR,0.7479616306954437
ElectricDeviceDetection,Hydra-MR,RDST,0.9002476999292287
ElectricDevices,FreshPRINCE,WEASEL-D,0.8833182034323261
EthanolLevel,InceptionT,Hydra-MR,0.7213333333333333
FaceAll,HC2,HC2,0.9871005917159764
FaceFour,RDST,RDST,0.9909090909090906
FacesUCR,InceptionT,RDST,0.9763089430894312
FiftyWords,Hydra-MR,RDST,0.8378021978021981
Fish,HC2,RDST,0.9841904761904762
FloodModeling1Discrete,FreshPRINCE,RDST,0.93036093418259
FloodModeling2Discrete,Hydra-MR,RDST,0.9585121602288984
FloodModeling3Discrete,FreshPRINCE,RDST,0.9263403263403264
FordA,FreshPRINCE,RDST,0.9492424242424242
FordB,InceptionT,RDST,0.9286008230452673
FreezerRegularTrain,RSTSF,Hydra-MR,0.9984444444444448
FreezerSmallTrain,HC2,Hydra-MR,0.9881169590643272
GestureMidAirD1Eq,HC2,RDST,0.7425641025641025
GestureMidAirD2Eq,HC2,RDST,0.622051282051282
GestureMidAirD3Eq,HC2,RDST,0.5192307692307692
GesturePebbleZ1Eq,RDST,RDST,0.9713178294573642
GesturePebbleZ2Eq,RDST,RDST,0.9748945147679328
GunPoint,HC2,WEASEL-D,0.9955555555555552
GunPointAgeSpan,PF,RDST,0.9914556962025316
