dataset,best_estimator,predicted_estimator,acc
ACSF1,HC2,HC2,0.8436666666666668
AconityMINIPrinterLargeEq,InceptionT,HC2,0.9546734234234237
AconityMINIPrinterSmallEq,HC2,Hydra-MR,0.9775114155251146
Adiac,Hydra-MR,Hydra-MR,0.824467178175618
AllGestureWiimoteXEq,InceptionT,InceptionT,0.8183333333333334
AllGestureWiimoteYEq,InceptionT,InceptionT,0.8462857142857143
AllGestureWiimoteZEq,InceptionT,InceptionT,0.7810952380952382
ArrowHead,Hydra-MR,HC2,0.8927619047619046
AsphaltObstaclesUniEq,InceptionT,HC2,0.8883205456095483
AsphaltPavementTypeUniEq,InceptionT,HC2,0.8956755050505051
AsphaltRegularityUniEq,RSTSF,FreshPRINCE,0.9865956502441188
BME,Hydra-MR,HC2,1.0
Beef,RSTSF,RDST,0.7422222222222222
BeetleFly,WEASEL-D,Hydra-MR,0.9116666666666666
BirdChicken,RSTSF,WEASEL-D,0.933333333333333
CBF,HC2,Hydra-MR,0.9929259259259258
Car,RDST,InceptionT,0.9011111111111112
Chinatown,RSTSF,Hydra-MR,0.9657920310981536
ChlorineConcentration,InceptionT,FreshPRINCE,0.7750086805555553
CinCECGTorso,HC2,HC2,0.9969806763285026
Coffee,Hydra-MR,HC2,1.0
Colposcopy,RSTSF,RSTSF,0.4336633663366335
Computers,Hydra-MR,HC2,0.8556000000000001
Covid3MonthDiscrete,HC2,WEASEL-D,0.7928571428571428
CricketX,InceptionT,InceptionT,0.8533333333333332
CricketY,InceptionT,InceptionT,0.8598290598290598
CricketZ,InceptionT,InceptionT,0.8609401709401711
Crop,InceptionT,Hydra-MR,0.7782043650793649
DiatomSizeReduction,PF,RDST,0.9449891067538124
DistalPhalanxOutlineAgeGroup,WEASEL-D,RSTSF,0.8038369304556355
DistalPhalanxOutlineCorrect,Hydra-MR,HC2,0.8275362318840578
DistalPhalanxTW,HC2,FreshPRINCE,0.6985611510791365
DodgerLoopDayNmv,RSTSF,HC2,0.5952380952380951
DodgerLoopGameNmv,PF,RSTSF,0.8551181102362201
DodgerLoopWeekendNmv,RSTSF,Hydra-MR,0.9809523809523806
ECG200,Hydra-MR,Hydra-MR,0.9053333333333332
ECG5000,HC2,InceptionT,0.9421185185185184
ECGFiveDays,FreshPRINCE,HC2,0.9970189701897022
EOGHorizontalSignal,InceptionT,HC2,0.8149171270718232
EOGVerticalSignal,InceptionT,HC2,0.7862799263351749
Earthquakes,RSTSF,FreshPRINCE,0.7508393285371703
ElectricDeviceDetection,Hydra-MR,HC2,0.8886058032554848
ElectricDevices,FreshPRINCE,Hydra-MR,0.9029265551376824
EthanolLevel,InceptionT,HC2,0.834533333333333
FaceAll,HC2,InceptionT,0.9831952662721896
FaceFour,RDST,Hydra-MR,0.9034090909090908
FacesUCR,InceptionT,Hydra-MR,0.970959349593496
FiftyWords,Hydra-MR,Hydra-MR,0.8455677655677659
Fish,HC2,HC2,0.9845714285714282
FloodModeling1Discrete,FreshPRINCE,Hydra-MR,0.9616418966737438
FloodModeling2Discrete,Hydra-MR,FreshPRINCE,0.9829756795422028
FloodModeling3Discrete,FreshPRINCE,Hydra-MR,0.9655011655011656
FordA,FreshPRINCE,HC2,0.953712121212121
FordB,InceptionT,HC2,0.9338683127572016
FreezerRegularTrain,RSTSF,InceptionT,0.9957426900584796
FreezerSmallTrain,HC2,InceptionT,0.948830409356725
GestureMidAirD1Eq,HC2,Hydra-MR,0.7735897435897436
GestureMidAirD2Eq,HC2,Hydra-MR,0.6366666666666665
GestureMidAirD3Eq,HC2,Hydra-MR,0.4846153846153846
GesturePebbleZ1Eq,RDST,HC2,0.9569767441860464
GesturePebbleZ2Eq,RDST,HC2,0.967510548523207
GunPoint,HC2,HC2,0.999111111111111
GunPointAgeSpan,PF,Hydra-MR,0.9968354430379746
