dataset,best_estimator,predicted_estimator,acc
ACSF1,HC2,InceptionT,0.8266666666666664
AconityMINIPrinterLargeEq,InceptionT,HC2,0.9546734234234237
AconityMINIPrinterSmallEq,HC2,InceptionT,0.972831050228311
Adiac,Hydra-MR,Hydra-MR,0.824467178175618
AllGestureWiimoteXEq,InceptionT,InceptionT,0.8183333333333334
AllGestureWiimoteYEq,InceptionT,InceptionT,0.8462857142857143
AllGestureWiimoteZEq,InceptionT,HC2,0.726952380952381
ArrowHead,Hydra-MR,HC2,0.8927619047619046
AsphaltObstaclesUniEq,InceptionT,FreshPRINCE,0.8572037510656435
AsphaltPavementTypeUniEq,InceptionT,RSTSF,0.9300820707070708
AsphaltRegularityUniEq,RSTSF,InceptionT,0.9870395028850422
BME,Hydra-MR,HC2,1.0
Beef,RSTSF,Hydra-MR,0.7633333333333331
BeetleFly,WEASEL-D,WEASEL-D,0.9466666666666664
BirdChicken,RSTSF,Hydra-MR,0.91
CBF,HC2,Hydra-MR,0.9929259259259258
Car,RDST,Hydra-MR,0.9283333333333332
Chinatown,RSTSF,Hydra-MR,0.9657920310981536
ChlorineConcentration,InceptionT,HC2,0.7629253472222223
CinCECGTorso,HC2,HC2,0.9969806763285026
Coffee,Hydra-MR,Hydra-MR,1.0
Colposcopy,RSTSF,RSTSF,0.4336633663366335
Computers,Hydra-MR,HC2,0.8556000000000001
Covid3MonthDiscrete,HC2,PF,0.7866666666666668
CricketX,InceptionT,InceptionT,0.8533333333333332
CricketY,InceptionT,HC2,0.84991452991453
CricketZ,InceptionT,InceptionT,0.8609401709401711
Crop,InceptionT,FreshPRINCE,0.7679146825396825
DiatomSizeReduction,PF,HC2,0.9468409586056644
DistalPhalanxOutlineAgeGroup,WEASEL-D,HC2,0.8110311750599519
DistalPhalanxOutlineCorrect,Hydra-MR,InceptionT,0.8153381642512075
DistalPhalanxTW,HC2,WEASEL-D,0.7050359712230214
DodgerLoopDayNmv,RSTSF,RSTSF,0.6268398268398269
DodgerLoopGameNmv,PF,RSTSF,0.8551181102362201
DodgerLoopWeekendNmv,RSTSF,PF,0.9846560846560846
ECG200,Hydra-MR,Hydra-MR,0.9053333333333332
ECG5000,HC2,InceptionT,0.9421185185185184
ECGFiveDays,FreshPRINCE,HC2,0.9970189701897022
EOGHorizontalSignal,InceptionT,InceptionT,0.8835174953959484
EOGVerticalSignal,InceptionT,InceptionT,0.814732965009208
Earthquakes,RSTSF,PF,0.7496402877697841
ElectricDeviceDetection,Hydra-MR,InceptionT,0.7315728945506014
ElectricDevices,FreshPRINCE,HC2,0.8990360091643972
EthanolLevel,InceptionT,HC2,0.834533333333333
FaceAll,HC2,InceptionT,0.9831952662721896
FaceFour,RDST,WEASEL-D,0.9045454545454548
FacesUCR,InceptionT,HC2,0.975040650406504
FiftyWords,Hydra-MR,Hydra-MR,0.8455677655677659
Fish,HC2,RSTSF,0.9213333333333332
FloodModeling1Discrete,FreshPRINCE,FreshPRINCE,0.9694267515923568
FloodModeling2Discrete,Hydra-MR,FreshPRINCE,0.9829756795422028
FloodModeling3Discrete,FreshPRINCE,Hydra-MR,0.9655011655011656
FordA,FreshPRINCE,InceptionT,0.9590404040404042
FordB,InceptionT,FreshPRINCE,0.920699588477366
FreezerRegularTrain,RSTSF,HC2,0.999263157894737
FreezerSmallTrain,HC2,RSTSF,0.988982456140351
GestureMidAirD1Eq,HC2,HC2,0.7776923076923077
GestureMidAirD2Eq,HC2,HC2,0.653076923076923
GestureMidAirD3Eq,HC2,HC2,0.5407692307692307
GesturePebbleZ1Eq,RDST,RDST,0.9713178294573642
GesturePebbleZ2Eq,RDST,RDST,0.9748945147679328
GunPoint,HC2,Hydra-MR,0.996222222222222
GunPointAgeSpan,PF,Hydra-MR,0.9968354430379746
GunPointMaleVersusFemale,Hydra-MR,Hydra-MR,1.0
GunPointOldVersusYoung,Hydra-MR,Hydra-MR,1.0
Ham,WEASEL-D,WEASEL-D,0.8615873015873018
HandOutlines,Hydra-MR,FreshPRINCE,0.914864864864865
Haptics,RDST,HC2,0.5584415584415584
Herring,RDST,HC2,0.6322916666666667
HouseTwenty,HC2,Hydra-MR,0.981232492997199
InlineSkate,RSTSF,HC2,0.5310303030303031
InsectEPGRegularTrain,Hydra-MR,PF,1.0
InsectEPGSmallTrain,PF,Hydra-MR,0.9847389558232932
InsectWingbeatSound,Hydra-MR,Hydra-MR,0.6668855218855222
ItalyPowerDemand,RSTSF,HC2,0.962325882734046
KeplerLightCurves,FreshPRINCE,RDST,0.928404344193818
LargeKitchenAppliances,InceptionT,HC2,0.9380444444444442
Lightning2,PF,RSTSF,0.7710382513661201
Lightning7,InceptionT,RSTSF,0.7666666666666665
Mallat,HC2,Hydra-MR,0.9527789623312012
Meat,HC2,WEASEL-D,0.982777777777778
MedicalImages,RSTSF,InceptionT,0.796359649122807
MelbournePedestrianNmv,RSTSF,InceptionT,0.9677015955153084
MiddlePhalanxOutlineAgeGroup,WEASEL-D,RSTSF,0.6967532467532467
MiddlePhalanxOutlineCorrect,Hydra-MR,WEASEL-D,0.8336769759450176
MiddlePhalanxTW,RSTSF,WEASEL-D,0.5859307359307361
MixedShapesRegularTrain,Hydra-MR,Hydra-MR,0.981745704467354
MixedShapesSmallTrain,Hydra-MR,Hydra-MR,0.9589553264604812
MoteStrain,WEASEL-D,HC2,0.9286208732694357
NonInvasiveFetalECGThorax1,Hydra-MR,Hydra-MR,0.9601017811704834
NonInvasiveFetalECGThorax2,Hydra-MR,Hydra-MR,0.9681424936386768
OSULeaf,WEASEL-D,RSTSF,0.8670798898071624
