dataset,best_estimator,predicted_estimator,acc
ACSF1,HC2,HC2,0.8436666666666668
AconityMINIPrinterLargeEq,InceptionT,HC2,0.9546734234234237
AconityMINIPrinterSmallEq,HC2,InceptionT,0.972831050228311
Adiac,Hydra-MR,Hydra-MR,0.824467178175618
AllGestureWiimoteXEq,InceptionT,InceptionT,0.8183333333333334
AllGestureWiimoteYEq,InceptionT,HC2,0.7793333333333334
AllGestureWiimoteZEq,InceptionT,InceptionT,0.7810952380952382
ArrowHead,Hydra-MR,Hydra-MR,0.897142857142857
AsphaltObstaclesUniEq,InceptionT,InceptionT,0.9117647058823528
AsphaltPavementTypeUniEq,InceptionT,HC2,0.8956755050505051
AsphaltRegularityUniEq,RSTSF,InceptionT,0.9870395028850422
BME,Hydra-MR,HC2,1.0
Beef,RSTSF,Hydra-MR,0.7633333333333331
BeetleFly,WEASEL-D,Hydra-MR,0.9116666666666666
BirdChicken,RSTSF,Hydra-MR,0.91
CBF,HC2,HC2,0.9964814814814812
Car,RDST,Hydra-MR,0.9283333333333332
Chinatown,RSTSF,HC2,0.9700680272108844
ChlorineConcentration,InceptionT,InceptionT,0.8636111111111112
CinCECGTorso,HC2,Hydra-MR,0.9772222222222224
Coffee,Hydra-MR,HC2,1.0
Colposcopy,RSTSF,HC2,0.3963696369636963
Computers,Hydra-MR,HC2,0.8556000000000001
Covid3MonthDiscrete,HC2,HC2,0.8147619047619049
CricketX,InceptionT,HC2,0.8402564102564103
CricketY,InceptionT,HC2,0.84991452991453
CricketZ,InceptionT,HC2,0.857777777777778
Crop,InceptionT,HC2,0.7601210317460318
DiatomSizeReduction,PF,Hydra-MR,0.9504357298474944
DistalPhalanxOutlineAgeGroup,WEASEL-D,Hydra-MR,0.8069544364508394
DistalPhalanxOutlineCorrect,Hydra-MR,Hydra-MR,0.8397342995169079
DistalPhalanxTW,HC2,Hydra-MR,0.6959232613908873
DodgerLoopDayNmv,RSTSF,HC2,0.5952380952380951
DodgerLoopGameNmv,PF,RSTSF,0.8551181102362201
DodgerLoopWeekendNmv,RSTSF,HC2,0.9835978835978832
ECG200,Hydra-MR,HC2,0.886666666666667
ECG5000,HC2,HC2,0.948422222222222
ECGFiveDays,FreshPRINCE,HC2,0.9970189701897022
EOGHorizontalSignal,InceptionT,HC2,0.8149171270718232
EOGVerticalSignal,InceptionT,HC2,0.7862799263351749
Earthquakes,RSTSF,HC2,0.7472422062350119
ElectricDeviceDetection,Hydra-MR,HC2,0.8886058032554848
ElectricDevices,FreshPRINCE,HC2,0.8990360091643972
EthanolLevel,InceptionT,HC2,0.834533333333333
FaceAll,HC2,InceptionT,0.9831952662721896
FaceFour,RDST,Hydra-MR,0.9034090909090908
FacesUCR,InceptionT,HC2,0.975040650406504
FiftyWords,Hydra-MR,Hydra-MR,0.8455677655677659
Fish,HC2,Hydra-MR,0.9815238095238096
FloodModeling1Discrete,FreshPRINCE,HC2,0.9279547062986552
FloodModeling2Discrete,Hydra-MR,FreshPRINCE,0.9829756795422028
FloodModeling3Discrete,FreshPRINCE,HC2,0.9269619269619273
FordA,FreshPRINCE,InceptionT,0.9590404040404042
FordB,InceptionT,Hydra-MR,0.9311934156378602
FreezerRegularTrain,RSTSF,HC2,0.999263157894737
FreezerSmallTrain,HC2,HC2,0.9947953216374272
GestureMidAirD1Eq,HC2,HC2,0.7776923076923077
GestureMidAirD2Eq,HC2,HC2,0.653076923076923
GestureMidAirD3Eq,HC2,HC2,0.5407692307692307
GesturePebbleZ1Eq,RDST,InceptionT,0.971124031007752
GesturePebbleZ2Eq,RDST,InceptionT,0.968143459915612
GunPoint,HC2,Hydra-MR,0.996222222222222
GunPointAgeSpan,PF,Hydra-MR,0.9968354430379746
GunPointMaleVersusFemale,Hydra-MR,Hydra-MR,1.0
