dataset,best_estimator,predicted_estimator,acc
ACSF1,HC2,HC2,0.8436666666666668
AconityMINIPrinterLargeEq,InceptionT,HC2,0.9546734234234237
AconityMINIPrinterSmallEq,HC2,InceptionT,0.972831050228311
Adiac,Hydra-MR,Hydra-MR,0.824467178175618
AllGestureWiimoteXEq,InceptionT,InceptionT,0.8183333333333334
AllGestureWiimoteYEq,InceptionT,InceptionT,0.8462857142857143
AllGestureWiimoteZEq,InceptionT,InceptionT,0.7810952380952382
ArrowHead,Hydra-MR,Hydra-MR,0.897142857142857
AsphaltObstaclesUniEq,InceptionT,InceptionT,0.9117647058823528
AsphaltPavementTypeUniEq,InceptionT,RSTSF,0.9300820707070708
AsphaltRegularityUniEq,RSTSF,InceptionT,0.9870395028850422
BME,Hydra-MR,HC2,1.0
Beef,RSTSF,HC2,0.7655555555555558
BeetleFly,WEASEL-D,WEASEL-D,0.9466666666666664
BirdChicken,RSTSF,RDST,0.9133333333333332
CBF,HC2,Hydra-MR,0.9929259259259258
Car,RDST,HC2,0.9116666666666664
Chinatown,RSTSF,RSTSF,0.9756073858114674
ChlorineConcentration,InceptionT,FreshPRINCE,0.7750086805555553
CinCECGTorso,HC2,Hydra-MR,0.9772222222222224
Coffee,Hydra-MR,WEASEL-D,0.9976190476190476
Colposcopy,RSTSF,PF,0.3290429042904291
Computers,Hydra-MR,HC2,0.8556000000000001
Covid3MonthDiscrete,HC2,FreshPRINCE,0.7890476190476192
CricketX,InceptionT,InceptionT,0.8533333333333332
CricketY,InceptionT,InceptionT,0.8598290598290598
CricketZ,InceptionT,InceptionT,0.8609401709401711
Crop,InceptionT,FreshPRINCE,0.7679146825396825
DiatomSizeReduction,PF,Hydra-MR,0.9504357298474944
DistalPhalanxOutlineAgeGroup,WEASEL-D,HC2,0.8110311750599519
DistalPhalanxOutlineCorrect,Hydra-MR,WEASEL-D,0.8352657004830917
DistalPhalanxTW,HC2,WEASEL-D,0.7050359712230214
DodgerLoopDayNmv,RSTSF,PF,0.5883116883116883
DodgerLoopGameNmv,PF,RSTSF,0.8551181102362201
DodgerLoopWeekendNmv,RSTSF,PF,0.9846560846560846
ECG200,Hydra-MR,HC2,0.886666666666667
ECG5000,HC2,HC2,0.948422222222222
ECGFiveDays,FreshPRINCE,HC2,0.9970189701897022
EOGHorizontalSignal,InceptionT,InceptionT,0.8835174953959484
EOGVerticalSignal,InceptionT,HC2,0.7862799263351749
Earthquakes,RSTSF,FreshPRINCE,0.7508393285371703
ElectricDeviceDetection,Hydra-MR,HC2,0.8886058032554848
ElectricDevices,FreshPRINCE,InceptionT,0.8901698871741668
EthanolLevel,InceptionT,Hydra-MR,0.7213333333333333
FaceAll,HC2,InceptionT,0.9831952662721896
FaceFour,RDST,FreshPRINCE,0.8306818181818183
FacesUCR,InceptionT,FreshPRINCE,0.8892357723577238
FiftyWords,Hydra-MR,Hydra-MR,0.8455677655677659
Fish,HC2,HC2,0.9845714285714282
FloodModeling1Discrete,FreshPRINCE,FreshPRINCE,0.9694267515923568
FloodModeling2Discrete,Hydra-MR,FreshPRINCE,0.9829756795422028
FloodModeling3Discrete,FreshPRINCE,Hydra-MR,0.9655011655011656
FordA,FreshPRINCE,InceptionT,0.9590404040404042
FordB,InceptionT,FreshPRINCE,0.920699588477366
FreezerRegularTrain,RSTSF,HC2,0.999263157894737
FreezerSmallTrain,HC2,RSTSF,0.988982456140351
GestureMidAirD1Eq,HC2,HC2,0.7776923076923077
GestureMidAirD2Eq,HC2,HC2,0.653076923076923
GestureMidAirD3Eq,HC2,HC2,0.5407692307692307
GesturePebbleZ1Eq,RDST,RDST,0.9713178294573642
GesturePebbleZ2Eq,RDST,RDST,0.9748945147679328
GunPoint,HC2,Hydra-MR,0.996222222222222
GunPointAgeSpan,PF,Hydra-MR,0.9968354430379746
