dataset,best_estimator,predicted_estimator,acc
ACSF1,HC2,RSTSF,0.8203333333333335
AconityMINIPrinterLargeEq,InceptionT,HC2,0.9546734234234237
AconityMINIPrinterSmallEq,HC2,InceptionT,0.972831050228311
Adiac,Hydra-MR,Hydra-MR,0.824467178175618
AllGestureWiimoteXEq,InceptionT,InceptionT,0.8183333333333334
AllGestureWiimoteYEq,InceptionT,InceptionT,0.8462857142857143
AllGestureWiimoteZEq,InceptionT,InceptionT,0.7810952380952382
ArrowHead,Hydra-MR,WEASEL-D,0.8851428571428571
AsphaltObstaclesUniEq,InceptionT,InceptionT,0.9117647058823528
AsphaltPavementTypeUniEq,InceptionT,InceptionT,0.9324810606060604
AsphaltRegularityUniEq,RSTSF,InceptionT,0.9870395028850422
BME,Hydra-MR,HC2,1.0
Beef,RSTSF,Hydra-MR,0.7633333333333331
BeetleFly,WEASEL-D,WEASEL-D,0.9466666666666664
BirdChicken,RSTSF,WEASEL-D,0.933333333333333
CBF,HC2,Hydra-MR,0.9929259259259258
Car,RDST,HC2,0.9116666666666664
Chinatown,RSTSF,RSTSF,0.9756073858114674
ChlorineConcentration,InceptionT,RDST,0.7600347222222222
CinCECGTorso,HC2,WEASEL-D,0.9258212560386472
Coffee,Hydra-MR,WEASEL-D,0.9976190476190476
Colposcopy,RSTSF,InceptionT,0.3768976897689769
Computers,Hydra-MR,HC2,0.8556000000000001
Covid3MonthDiscrete,HC2,RSTSF,0.7914285714285716
CricketX,InceptionT,InceptionT,0.8533333333333332
CricketY,InceptionT,InceptionT,0.8598290598290598
CricketZ,InceptionT,InceptionT,0.8609401709401711
Crop,InceptionT,PF,0.7531091269841271
DiatomSizeReduction,PF,Hydra-MR,0.9504357298474944
DistalPhalanxOutlineAgeGroup,WEASEL-D,HC2,0.8110311750599519
DistalPhalanxOutlineCorrect,Hydra-MR,WEASEL-D,0.8352657004830917
DistalPhalanxTW,HC2,WEASEL-D,0.7050359712230214
DodgerLoopDayNmv,RSTSF,PF,0.5883116883116883
DodgerLoopGameNmv,PF,RSTSF,0.8551181102362201
DodgerLoopWeekendNmv,RSTSF,PF,0.9846560846560846
ECG200,Hydra-MR,Hydra-MR,0.9053333333333332
ECG5000,HC2,RSTSF,0.9460962962962964
ECGFiveDays,FreshPRINCE,Hydra-MR,0.9905923344947736
EOGHorizontalSignal,InceptionT,InceptionT,0.8835174953959484
EOGVerticalSignal,InceptionT,InceptionT,0.814732965009208
Earthquakes,RSTSF,RDST,0.7388489208633096
ElectricDeviceDetection,Hydra-MR,RSTSF,0.898469568294409
ElectricDevices,FreshPRINCE,Hydra-MR,0.9029265551376824
EthanolLevel,InceptionT,RDST,0.7383999999999998
FaceAll,HC2,InceptionT,0.9831952662721896
FaceFour,RDST,WEASEL-D,0.9045454545454548
FacesUCR,InceptionT,HC2,0.975040650406504
