dataset,best_estimator,predicted_estimator,acc
ACSF1,HC2,Hydra-MR,0.8343333333333334
AconityMINIPrinterLargeEq,InceptionT,HC2,0.9546734234234237
AconityMINIPrinterSmallEq,HC2,InceptionT,0.972831050228311
Adiac,Hydra-MR,Hydra-MR,0.824467178175618
AllGestureWiimoteXEq,InceptionT,InceptionT,0.8183333333333334
AllGestureWiimoteYEq,InceptionT,InceptionT,0.8462857142857143
AllGestureWiimoteZEq,InceptionT,InceptionT,0.7810952380952382
ArrowHead,Hydra-MR,Hydra-MR,0.897142857142857
AsphaltObstaclesUniEq,InceptionT,InceptionT,0.9117647058823528
AsphaltPavementTypeUniEq,InceptionT,InceptionT,0.9324810606060604
AsphaltRegularityUniEq,RSTSF,InceptionT,0.9870395028850422
BME,Hydra-MR,HC2,1.0
Beef,RSTSF,Hydra-MR,0.7633333333333331
BeetleFly,WEASEL-D,Hydra-MR,0.9116666666666666
BirdChicken,RSTSF,Hydra-MR,0.91
CBF,HC2,Hydra-MR,0.9929259259259258
Car,RDST,Hydra-MR,0.9283333333333332
Chinatown,RSTSF,RSTSF,0.9756073858114674
ChlorineConcentration,InceptionT,RSTSF,0.7557725694444444
CinCECGTorso,HC2,HC2,0.9969806763285026
Coffee,Hydra-MR,WEASEL-D,0.9976190476190476
Colposcopy,RSTSF,HC2,0.3963696369636963
Computers,Hydra-MR,HC2,0.8556000000000001
Covid3MonthDiscrete,HC2,RSTSF,0.7914285714285716
CricketX,InceptionT,InceptionT,0.8533333333333332
CricketY,InceptionT,HC2,0.84991452991453
CricketZ,InceptionT,InceptionT,0.8609401709401711
Crop,InceptionT,PF,0.7531091269841271
DiatomSizeReduction,PF,Hydra-MR,0.9504357298474944
DistalPhalanxOutlineAgeGroup,WEASEL-D,HC2,0.8110311750599519
DistalPhalanxOutlineCorrect,Hydra-MR,WEASEL-D,0.8352657004830917
DistalPhalanxTW,HC2,WEASEL-D,0.7050359712230214
DodgerLoopDayNmv,RSTSF,PF,0.5883116883116883
DodgerLoopGameNmv,PF,RSTSF,0.8551181102362201
DodgerLoopWeekendNmv,RSTSF,PF,0.9846560846560846
ECG200,Hydra-MR,InceptionT,0.8966666666666668
ECG5000,HC2,Hydra-MR,0.9475703703703702
ECGFiveDays,FreshPRINCE,HC2,0.9970189701897022
EOGHorizontalSignal,InceptionT,HC2,0.8149171270718232
EOGVerticalSignal,InceptionT,InceptionT,0.814732965009208
Earthquakes,RSTSF,HC2,0.7472422062350119
ElectricDeviceDetection,Hydra-MR,HC2,0.8886058032554848
ElectricDevices,FreshPRINCE,HC2,0.8990360091643972
EthanolLevel,InceptionT,Hydra-MR,0.7213333333333333
FaceAll,HC2,InceptionT,0.9831952662721896
FaceFour,RDST,HC2,0.973863636363636
FacesUCR,InceptionT,HC2,0.975040650406504
FiftyWords,Hydra-MR,Hydra-MR,0.8455677655677659
Fish,HC2,Hydra-MR,0.9815238095238096
FloodModeling1Discrete,FreshPRINCE,Hydra-MR,0.9616418966737438
FloodModeling2Discrete,Hydra-MR,FreshPRINCE,0.9829756795422028
FloodModeling3Discrete,FreshPRINCE,Hydra-MR,0.9655011655011656
FordA,FreshPRINCE,InceptionT,0.9590404040404042
FordB,InceptionT,FreshPRINCE,0.920699588477366
FreezerRegularTrain,RSTSF,HC2,0.999263157894737
FreezerSmallTrain,HC2,RSTSF,0.988982456140351
GestureMidAirD1Eq,HC2,HC2,0.7776923076923077
GestureMidAirD2Eq,HC2,HC2,0.653076923076923
GestureMidAirD3Eq,HC2,HC2,0.5407692307692307
GesturePebbleZ1Eq,RDST,RDST,0.9713178294573642
GesturePebbleZ2Eq,RDST,RDST,0.9748945147679328
GunPoint,HC2,Hydra-MR,0.996222222222222
GunPointAgeSpan,PF,Hydra-MR,0.9968354430379746
GunPointMaleVersusFemale,Hydra-MR,Hydra-MR,1.0
GunPointOldVersusYoung,Hydra-MR,Hydra-MR,1.0
Ham,WEASEL-D,HC2,0.8612698412698416
HandOutlines,Hydra-MR,Hydra-MR,0.9524324324324328
Haptics,RDST,HC2,0.5584415584415584
Herring,RDST,Hydra-MR,0.6307291666666667
HouseTwenty,HC2,HC2,0.9876750700280112
InlineSkate,RSTSF,HC2,0.5310303030303031
InsectEPGRegularTrain,Hydra-MR,PF,1.0
InsectEPGSmallTrain,PF,Hydra-MR,0.9847389558232932
InsectWingbeatSound,Hydra-MR,Hydra-MR,0.6668855218855222
ItalyPowerDemand,RSTSF,RSTSF,0.966925817946226
KeplerLightCurves,FreshPRINCE,HC2,0.9654135338345868
LargeKitchenAppliances,InceptionT,HC2,0.9380444444444442
Lightning2,PF,InceptionT,0.8169398907103825
Lightning7,InceptionT,HC2,0.7917808219178083
Mallat,HC2,Hydra-MR,0.9527789623312012
Meat,HC2,RSTSF,0.9844444444444445
MedicalImages,RSTSF,Hydra-MR,0.8097807017543861
MelbournePedestrianNmv,RSTSF,RSTSF,0.9696852091418716
MiddlePhalanxOutlineAgeGroup,WEASEL-D,RSTSF,0.6967532467532467
MiddlePhalanxOutlineCorrect,Hydra-MR,WEASEL-D,0.8336769759450176
MiddlePhalanxTW,RSTSF,WEASEL-D,0.5859307359307361
MixedShapesRegularTrain,Hydra-MR,Hydra-MR,0.981745704467354
MixedShapesSmallTrain,Hydra-MR,Hydra-MR,0.9589553264604812
MoteStrain,WEASEL-D,HC2,0.9286208732694357
NonInvasiveFetalECGThorax1,Hydra-MR,Hydra-MR,0.9601017811704834
NonInvasiveFetalECGThorax2,Hydra-MR,Hydra-MR,0.9681424936386768
OSULeaf,WEASEL-D,Hydra-MR,0.9694214876033058
OliveOil,WEASEL-D,HC2,0.8955555555555557
PLAIDEq,Hydra-MR,HC2,0.8875853507138423
PhalangesOutlinesCorrect,InceptionT,Hydra-MR,0.8594017094017092
PhoneHeartbeatSound,RDST,HC2,0.6452380952380952
Phoneme,HC2,InceptionT,0.3344409282700422
PickupGestureWiimoteZEq,Hydra-MR,Hydra-MR,0.8466666666666666
PigAirwayPressure,HC2,HC2,0.942948717948718
PigArtPressure,HC2,HC2,0.9793269230769232
