dataset,best_estimator,predicted_estimator,acc
ACSF1,HC2,HC2,0.8436666666666668
AconityMINIPrinterLargeEq,InceptionT,HC2,0.9546734234234237
AconityMINIPrinterSmallEq,HC2,InceptionT,0.972831050228311
Adiac,Hydra-MR,Hydra-MR,0.824467178175618
AllGestureWiimoteXEq,InceptionT,HC2,0.7364285714285715
AllGestureWiimoteYEq,InceptionT,HC2,0.7793333333333334
AllGestureWiimoteZEq,InceptionT,HC2,0.726952380952381
ArrowHead,Hydra-MR,Hydra-MR,0.897142857142857
AsphaltObstaclesUniEq,InceptionT,HC2,0.8883205456095483
AsphaltPavementTypeUniEq,InceptionT,HC2,0.8956755050505051
AsphaltRegularityUniEq,RSTSF,HC2,0.9789613848202398
BME,Hydra-MR,HC2,1.0
Beef,RSTSF,Hydra-MR,0.7633333333333331
BeetleFly,WEASEL-D,Hydra-MR,0.9116666666666666
BirdChicken,RSTSF,Hydra-MR,0.91
CBF,HC2,Hydra-MR,0.9929259259259258
Car,RDST,Hydra-MR,0.9283333333333332
Chinatown,RSTSF,HC2,0.9700680272108844
ChlorineConcentration,InceptionT,Hydra-MR,0.7831597222222223
CinCECGTorso,HC2,Hydra-MR,0.9772222222222224
Coffee,Hydra-MR,Hydra-MR,1.0
Colposcopy,RSTSF,HC2,0.3963696369636963
Computers,Hydra-MR,HC2,0.8556000000000001
Covid3MonthDiscrete,HC2,HC2,0.8147619047619049
CricketX,InceptionT,Hydra-MR,0.8263247863247863
CricketY,InceptionT,Hydra-MR,0.8441025641025642
CricketZ,InceptionT,Hydra-MR,0.8469230769230769
Crop,InceptionT,Hydra-MR,0.7782043650793649
DiatomSizeReduction,PF,Hydra-MR,0.9504357298474944
DistalPhalanxOutlineAgeGroup,WEASEL-D,Hydra-MR,0.8069544364508394
DistalPhalanxOutlineCorrect,Hydra-MR,Hydra-MR,0.8397342995169079
DistalPhalanxTW,HC2,Hydra-MR,0.6959232613908873
DodgerLoopDayNmv,RSTSF,Hydra-MR,0.5480519480519479
DodgerLoopGameNmv,PF,RSTSF,0.8551181102362201
DodgerLoopWeekendNmv,RSTSF,Hydra-MR,0.9809523809523806
ECG200,Hydra-MR,Hydra-MR,0.9053333333333332
ECG5000,HC2,Hydra-MR,0.9475703703703702
ECGFiveDays,FreshPRINCE,Hydra-MR,0.9905923344947736
EOGHorizontalSignal,InceptionT,HC2,0.8149171270718232
EOGVerticalSignal,InceptionT,Hydra-MR,0.8075506445672194
Earthquakes,RSTSF,HC2,0.7472422062350119
ElectricDeviceDetection,Hydra-MR,HC2,0.8886058032554848
ElectricDevices,FreshPRINCE,HC2,0.8990360091643972
EthanolLevel,InceptionT,Hydra-MR,0.7213333333333333
FaceAll,HC2,Hydra-MR,0.9843589743589743
FaceFour,RDST,Hydra-MR,0.9034090909090908
FacesUCR,InceptionT,Hydra-MR,0.970959349593496
FiftyWords,Hydra-MR,Hydra-MR,0.8455677655677659
Fish,HC2,Hydra-MR,0.9815238095238096
FloodModeling1Discrete,FreshPRINCE,HC2,0.9279547062986552
FloodModeling2Discrete,Hydra-MR,HC2,0.959370529327611
FloodModeling3Discrete,FreshPRINCE,HC2,0.9269619269619273
FordA,FreshPRINCE,Hydra-MR,0.9553535353535356
FordB,InceptionT,Hydra-MR,0.9311934156378602
FreezerRegularTrain,RSTSF,HC2,0.999263157894737
FreezerSmallTrain,HC2,Hydra-MR,0.9881169590643272
GestureMidAirD1Eq,HC2,Hydra-MR,0.7735897435897436
GestureMidAirD2Eq,HC2,Hydra-MR,0.6366666666666665
GestureMidAirD3Eq,HC2,Hydra-MR,0.4846153846153846
GesturePebbleZ1Eq,RDST,HC2,0.9569767441860464
GesturePebbleZ2Eq,RDST,HC2,0.967510548523207
GunPoint,HC2,Hydra-MR,0.996222222222222
