dataset,best_estimator,predicted_estimator,acc
ACSF1,HC2,RDST,0.8326666666666664
AconityMINIPrinterLargeEq,InceptionT,RDST,0.9581644144144144
AconityMINIPrinterSmallEq,HC2,RDST,0.975570776255708
Adiac,Hydra-MR,RDST,0.7398976982097187
AllGestureWiimoteXEq,InceptionT,RDST,0.7103333333333333
AllGestureWiimoteYEq,InceptionT,RDST,0.7328095238095238
AllGestureWiimoteZEq,InceptionT,RDST,0.6776190476190476
ArrowHead,Hydra-MR,RDST,0.8782857142857143
AsphaltObstaclesUniEq,InceptionT,RDST,0.8799658994032395
AsphaltPavementTypeUniEq,InceptionT,RDST,0.8923926767676769
AsphaltRegularityUniEq,RSTSF,RDST,0.9769196626719928
BME,Hydra-MR,RDST,0.9822222222222224
Beef,RSTSF,RDST,0.7422222222222222
BeetleFly,WEASEL-D,RDST,0.9266666666666664
BirdChicken,RSTSF,RDST,0.9133333333333332
CBF,HC2,WEASEL-D,0.9806666666666668
Car,RDST,RDST,0.9377777777777776
Chinatown,RSTSF,RDST,0.9684159378036928
ChlorineConcentration,InceptionT,InceptionT,0.8636111111111112
CinCECGTorso,HC2,RDST,0.9821256038647344
Coffee,Hydra-MR,RDST,0.9952380952380954
Colposcopy,RSTSF,RDST,0.396039603960396
Computers,Hydra-MR,InceptionT,0.8658666666666668
Covid3MonthDiscrete,HC2,RDST,0.7902380952380953
CricketX,InceptionT,RDST,0.8352991452991453
CricketY,InceptionT,PF,0.79982905982906
CricketZ,InceptionT,InceptionT,0.8609401709401711
Crop,InceptionT,RDST,0.7681091269841271
DiatomSizeReduction,PF,RDST,0.9449891067538124
DistalPhalanxOutlineAgeGroup,WEASEL-D,RDST,0.80431654676259
DistalPhalanxOutlineCorrect,Hydra-MR,WEASEL-D,0.8352657004830917
DistalPhalanxTW,HC2,RDST,0.7052757793764987
DodgerLoopDayNmv,RSTSF,RDST,0.6108225108225108
DodgerLoopGameNmv,PF,RDST,0.8083989501312335
DodgerLoopWeekendNmv,RSTSF,RDST,0.9835978835978832
ECG200,Hydra-MR,RDST,0.8886666666666668
ECG5000,HC2,RSTSF,0.9460962962962964
ECGFiveDays,FreshPRINCE,RDST,0.9933023615950446
EOGHorizontalSignal,InceptionT,RDST,0.7794659300184161
EOGVerticalSignal,InceptionT,RDST,0.7267034990791895
Earthquakes,RSTSF,RSTSF,0.752517985611511
ElectricDeviceDetection,Hydra-MR,RSTSF,0.898469568294409
ElectricDevices,FreshPRINCE,HC2,0.8990360091643972
EthanolLevel,InceptionT,InceptionT,0.8751333333333335
FaceAll,HC2,WEASEL-D,0.9800197238658775
FaceFour,RDST,RDST,0.9909090909090906
FacesUCR,InceptionT,RDST,0.9763089430894312
FiftyWords,Hydra-MR,RDST,0.8378021978021981
Fish,HC2,RDST,0.9841904761904762
FloodModeling1Discrete,FreshPRINCE,RDST,0.93036093418259
FloodModeling2Discrete,Hydra-MR,RDST,0.9585121602288984
FloodModeling3Discrete,FreshPRINCE,RDST,0.9263403263403264
FordA,FreshPRINCE,RDST,0.9492424242424242
FordB,InceptionT,RDST,0.9286008230452673
FreezerRegularTrain,RSTSF,RSTSF,0.99940350877193
FreezerSmallTrain,HC2,RSTSF,0.988982456140351
GestureMidAirD1Eq,HC2,RDST,0.7425641025641025
GestureMidAirD2Eq,HC2,RDST,0.622051282051282
GestureMidAirD3Eq,HC2,RDST,0.5192307692307692
GesturePebbleZ1Eq,RDST,RDST,0.9713178294573642
GesturePebbleZ2Eq,RDST,RDST,0.9748945147679328
GunPoint,HC2,WEASEL-D,0.9955555555555552
GunPointAgeSpan,PF,RDST,0.9914556962025316
GunPointMaleVersusFemale,Hydra-MR,RDST,0.9997890295358648
