dataset,best_estimator,predicted_estimator,acc
ACSF1,HC2,RSTSF,0.8203333333333335
AconityMINIPrinterLargeEq,InceptionT,HC2,0.9546734234234237
AconityMINIPrinterSmallEq,HC2,InceptionT,0.972831050228311
Adiac,Hydra-MR,Hydra-MR,0.824467178175618
AllGestureWiimoteXEq,InceptionT,InceptionT,0.8183333333333334
AllGestureWiimoteYEq,InceptionT,InceptionT,0.8462857142857143
AllGestureWiimoteZEq,InceptionT,InceptionT,0.7810952380952382
ArrowHead,Hydra-MR,HC2,0.8927619047619046
AsphaltObstaclesUniEq,InceptionT,InceptionT,0.9117647058823528
AsphaltPavementTypeUniEq,InceptionT,InceptionT,0.9324810606060604
AsphaltRegularityUniEq,RSTSF,RDST,0.9769196626719928
BME,Hydra-MR,HC2,1.0
Beef,RSTSF,WEASEL-D,0.7766666666666667
BeetleFly,WEASEL-D,RSTSF,0.885
BirdChicken,RSTSF,WEASEL-D,0.933333333333333
CBF,HC2,Hydra-MR,0.9929259259259258
Car,RDST,WEASEL-D,0.9077777777777778
Chinatown,RSTSF,Hydra-MR,0.9657920310981536
ChlorineConcentration,InceptionT,HC2,0.7629253472222223
CinCECGTorso,HC2,InceptionT,0.8321256038647342
Coffee,Hydra-MR,WEASEL-D,0.9976190476190476
Colposcopy,RSTSF,RSTSF,0.4336633663366335
Computers,Hydra-MR,PF,0.7142666666666666
Covid3MonthDiscrete,HC2,WEASEL-D,0.7928571428571428
CricketX,InceptionT,InceptionT,0.8533333333333332
CricketY,InceptionT,InceptionT,0.8598290598290598
CricketZ,InceptionT,InceptionT,0.8609401709401711
Crop,InceptionT,FreshPRINCE,0.7679146825396825
DiatomSizeReduction,PF,RDST,0.9449891067538124
DistalPhalanxOutlineAgeGroup,WEASEL-D,RSTSF,0.8038369304556355
DistalPhalanxOutlineCorrect,Hydra-MR,Hydra-MR,0.8397342995169079
DistalPhalanxTW,HC2,FreshPRINCE,0.6985611510791365
DodgerLoopDayNmv,RSTSF,InceptionT,0.5225108225108224
DodgerLoopGameNmv,PF,RSTSF,0.8551181102362201
DodgerLoopWeekendNmv,RSTSF,PF,0.9846560846560846
ECG200,Hydra-MR,Hydra-MR,0.9053333333333332
ECG5000,HC2,InceptionT,0.9421185185185184
ECGFiveDays,FreshPRINCE,HC2,0.9970189701897022
EOGHorizontalSignal,InceptionT,InceptionT,0.8835174953959484
EOGVerticalSignal,InceptionT,InceptionT,0.814732965009208
Earthquakes,RSTSF,InceptionT,0.7311750599520385
ElectricDeviceDetection,Hydra-MR,HC2,0.8886058032554848
ElectricDevices,FreshPRINCE,HC2,0.8990360091643972
EthanolLevel,InceptionT,HC2,0.834533333333333
FaceAll,HC2,InceptionT,0.9831952662721896
FaceFour,RDST,Hydra-MR,0.9034090909090908
FacesUCR,InceptionT,HC2,0.975040650406504
