dataset,best_estimator,predicted_estimator,acc
ACSF1,HC2,WEASEL-D,0.8290000000000001
AconityMINIPrinterLargeEq,InceptionT,HC2,0.9546734234234237
AconityMINIPrinterSmallEq,HC2,HC2,0.9779680365296808
Adiac,Hydra-MR,WEASEL-D,0.8178175618073315
AllGestureWiimoteXEq,InceptionT,WEASEL-D,0.7007619047619047
AllGestureWiimoteYEq,InceptionT,WEASEL-D,0.7315714285714285
AllGestureWiimoteZEq,InceptionT,WEASEL-D,0.6916666666666667
ArrowHead,Hydra-MR,WEASEL-D,0.8851428571428571
AsphaltObstaclesUniEq,InceptionT,WEASEL-D,0.8837169650468883
AsphaltPavementTypeUniEq,InceptionT,WEASEL-D,0.7995580808080808
AsphaltRegularityUniEq,RSTSF,WEASEL-D,0.9327119396360408
BME,Hydra-MR,WEASEL-D,0.9924444444444444
Beef,RSTSF,WEASEL-D,0.7766666666666667
BeetleFly,WEASEL-D,WEASEL-D,0.9466666666666664
BirdChicken,RSTSF,WEASEL-D,0.933333333333333
CBF,HC2,WEASEL-D,0.9806666666666668
Car,RDST,WEASEL-D,0.9077777777777778
Chinatown,RSTSF,HC2,0.9700680272108844
ChlorineConcentration,InceptionT,WEASEL-D,0.7680295138888887
CinCECGTorso,HC2,WEASEL-D,0.9258212560386472
Coffee,Hydra-MR,WEASEL-D,0.9976190476190476
Colposcopy,RSTSF,WEASEL-D,0.3828382838283829
Computers,Hydra-MR,WEASEL-D,0.7802666666666664
Covid3MonthDiscrete,HC2,Hydra-MR,0.7828571428571426
CricketX,InceptionT,WEASEL-D,0.8151282051282053
CricketY,InceptionT,WEASEL-D,0.8152991452991454
CricketZ,InceptionT,WEASEL-D,0.8280341880341882
Crop,InceptionT,WEASEL-D,0.758688492063492
DiatomSizeReduction,PF,WEASEL-D,0.9485838779956424
DistalPhalanxOutlineAgeGroup,WEASEL-D,WEASEL-D,0.816786570743405
DistalPhalanxOutlineCorrect,Hydra-MR,WEASEL-D,0.8352657004830917
DistalPhalanxTW,HC2,WEASEL-D,0.7050359712230214
DodgerLoopDayNmv,RSTSF,WEASEL-D,0.6038961038961038
DodgerLoopGameNmv,PF,WEASEL-D,0.8425196850393699
DodgerLoopWeekendNmv,RSTSF,WEASEL-D,0.9793650793650788
ECG200,Hydra-MR,WEASEL-D,0.8876666666666666
ECG5000,HC2,WEASEL-D,0.9481259259259258
ECGFiveDays,FreshPRINCE,WEASEL-D,0.9825783972125436
EOGHorizontalSignal,InceptionT,InceptionT,0.8835174953959484
EOGVerticalSignal,InceptionT,HC2,0.7862799263351749
Earthquakes,RSTSF,WEASEL-D,0.7453237410071942
ElectricDeviceDetection,Hydra-MR,HC2,0.8886058032554848
ElectricDevices,FreshPRINCE,WEASEL-D,0.8833182034323261
EthanolLevel,InceptionT,WEASEL-D,0.6864666666666666
FaceAll,HC2,WEASEL-D,0.9800197238658775
FaceFour,RDST,WEASEL-D,0.9045454545454548
FacesUCR,InceptionT,WEASEL-D,0.9545365853658536
FiftyWords,Hydra-MR,WEASEL-D,0.814578754578755
Fish,HC2,WEASEL-D,0.9803809523809522
FloodModeling1Discrete,FreshPRINCE,WEASEL-D,0.8941259731068648
FloodModeling2Discrete,Hydra-MR,WEASEL-D,0.9590844062947068
FloodModeling3Discrete,FreshPRINCE,WEASEL-D,0.9036519036519036
FordA,FreshPRINCE,WEASEL-D,0.9602272727272728
FordB,InceptionT,WEASEL-D,0.9381893004115226
FreezerRegularTrain,RSTSF,WEASEL-D,0.9956023391812866
FreezerSmallTrain,HC2,WEASEL-D,0.9449590643274852
GestureMidAirD1Eq,HC2,WEASEL-D,0.7333333333333331
GestureMidAirD2Eq,HC2,PF,0.5394871794871794
GestureMidAirD3Eq,HC2,WEASEL-D,0.4471794871794873
GesturePebbleZ1Eq,RDST,WEASEL-D,0.9610465116279072
GesturePebbleZ2Eq,RDST,WEASEL-D,0.969198312236287
GunPoint,HC2,WEASEL-D,0.9955555555555552
GunPointAgeSpan,PF,InceptionT,0.984071729957806
GunPointMaleVersusFemale,Hydra-MR,InceptionT,0.9983122362869196
