dataset,best_estimator,predicted_estimator,acc
ACSF1,HC2,HC2,0.8436666666666668
AconityMINIPrinterLargeEq,InceptionT,HC2,0.9546734234234237
AconityMINIPrinterSmallEq,HC2,InceptionT,0.972831050228311
Adiac,Hydra-MR,Hydra-MR,0.824467178175618
AllGestureWiimoteXEq,InceptionT,InceptionT,0.8183333333333334
AllGestureWiimoteYEq,InceptionT,InceptionT,0.8462857142857143
AllGestureWiimoteZEq,InceptionT,HC2,0.726952380952381
ArrowHead,Hydra-MR,Hydra-MR,0.897142857142857
AsphaltObstaclesUniEq,InceptionT,InceptionT,0.9117647058823528
AsphaltPavementTypeUniEq,InceptionT,InceptionT,0.9324810606060604
AsphaltRegularityUniEq,RSTSF,InceptionT,0.9870395028850422
BME,Hydra-MR,HC2,1.0
Beef,RSTSF,Hydra-MR,0.7633333333333331
BeetleFly,WEASEL-D,Hydra-MR,0.9116666666666666
BirdChicken,RSTSF,Hydra-MR,0.91
CBF,HC2,Hydra-MR,0.9929259259259258
Car,RDST,Hydra-MR,0.9283333333333332
Chinatown,RSTSF,Hydra-MR,0.9657920310981536
ChlorineConcentration,InceptionT,HC2,0.7629253472222223
CinCECGTorso,HC2,InceptionT,0.8321256038647342
Coffee,Hydra-MR,Hydra-MR,1.0
Colposcopy,RSTSF,HC2,0.3963696369636963
Computers,Hydra-MR,HC2,0.8556000000000001
Covid3MonthDiscrete,HC2,Hydra-MR,0.7828571428571426
CricketX,InceptionT,InceptionT,0.8533333333333332
CricketY,InceptionT,InceptionT,0.8598290598290598
CricketZ,InceptionT,InceptionT,0.8609401709401711
Crop,InceptionT,Hydra-MR,0.7782043650793649
DiatomSizeReduction,PF,Hydra-MR,0.9504357298474944
DistalPhalanxOutlineAgeGroup,WEASEL-D,HC2,0.8110311750599519
DistalPhalanxOutlineCorrect,Hydra-MR,WEASEL-D,0.8352657004830917
DistalPhalanxTW,HC2,WEASEL-D,0.7050359712230214
DodgerLoopDayNmv,RSTSF,PF,0.5883116883116883
DodgerLoopGameNmv,PF,RSTSF,0.8551181102362201
DodgerLoopWeekendNmv,RSTSF,PF,0.9846560846560846
ECG200,Hydra-MR,InceptionT,0.8966666666666668
ECG5000,HC2,HC2,0.948422222222222
ECGFiveDays,FreshPRINCE,HC2,0.9970189701897022
EOGHorizontalSignal,InceptionT,InceptionT,0.8835174953959484
EOGVerticalSignal,InceptionT,InceptionT,0.814732965009208
Earthquakes,RSTSF,WEASEL-D,0.7453237410071942
ElectricDeviceDetection,Hydra-MR,RSTSF,0.898469568294409
ElectricDevices,FreshPRINCE,InceptionT,0.8901698871741668
EthanolLevel,InceptionT,HC2,0.834533333333333
FaceAll,HC2,InceptionT,0.9831952662721896
FaceFour,RDST,InceptionT,0.9386363636363636
FacesUCR,InceptionT,HC2,0.975040650406504
FiftyWords,Hydra-MR,Hydra-MR,0.8455677655677659
Fish,HC2,Hydra-MR,0.9815238095238096
FloodModeling1Discrete,FreshPRINCE,FreshPRINCE,0.9694267515923568
FloodModeling2Discrete,Hydra-MR,FreshPRINCE,0.9829756795422028
FloodModeling3Discrete,FreshPRINCE,FreshPRINCE,0.9743589743589745
FordA,FreshPRINCE,InceptionT,0.9590404040404042
FordB,InceptionT,FreshPRINCE,0.920699588477366
FreezerRegularTrain,RSTSF,HC2,0.999263157894737
FreezerSmallTrain,HC2,RSTSF,0.988982456140351
GestureMidAirD1Eq,HC2,HC2,0.7776923076923077
GestureMidAirD2Eq,HC2,HC2,0.653076923076923
GestureMidAirD3Eq,HC2,HC2,0.5407692307692307
GesturePebbleZ1Eq,RDST,RDST,0.9713178294573642
GesturePebbleZ2Eq,RDST,RDST,0.9748945147679328
GunPoint,HC2,Hydra-MR,0.996222222222222
GunPointAgeSpan,PF,Hydra-MR,0.9968354430379746
