dataset,best_estimator,predicted_estimator,acc
ACSF1,HC2,Hydra-MR,0.8343333333333334
AconityMINIPrinterLargeEq,InceptionT,HC2,0.9546734234234237
AconityMINIPrinterSmallEq,HC2,InceptionT,0.972831050228311
Adiac,Hydra-MR,Hydra-MR,0.824467178175618
AllGestureWiimoteXEq,InceptionT,Hydra-MR,0.7652857142857142
AllGestureWiimoteYEq,InceptionT,Hydra-MR,0.8062857142857143
AllGestureWiimoteZEq,InceptionT,Hydra-MR,0.7307142857142858
ArrowHead,Hydra-MR,HC2,0.8927619047619046
AsphaltObstaclesUniEq,InceptionT,Hydra-MR,0.8851662404092071
AsphaltPavementTypeUniEq,InceptionT,HC2,0.8956755050505051
AsphaltRegularityUniEq,RSTSF,HC2,0.9789613848202398
BME,Hydra-MR,HC2,1.0
Beef,RSTSF,Hydra-MR,0.7633333333333331
BeetleFly,WEASEL-D,Hydra-MR,0.9116666666666666
BirdChicken,RSTSF,Hydra-MR,0.91
CBF,HC2,Hydra-MR,0.9929259259259258
Car,RDST,Hydra-MR,0.9283333333333332
Chinatown,RSTSF,HC2,0.9700680272108844
ChlorineConcentration,InceptionT,Hydra-MR,0.7831597222222223
CinCECGTorso,HC2,HC2,0.9969806763285026
Coffee,Hydra-MR,HC2,1.0
Colposcopy,RSTSF,Hydra-MR,0.375907590759076
Computers,Hydra-MR,HC2,0.8556000000000001
Covid3MonthDiscrete,HC2,Hydra-MR,0.7828571428571426
CricketX,InceptionT,Hydra-MR,0.8263247863247863
CricketY,InceptionT,Hydra-MR,0.8441025641025642
CricketZ,InceptionT,Hydra-MR,0.8469230769230769
Crop,InceptionT,Hydra-MR,0.7782043650793649
DiatomSizeReduction,PF,Hydra-MR,0.9504357298474944
DistalPhalanxOutlineAgeGroup,WEASEL-D,Hydra-MR,0.8069544364508394
DistalPhalanxOutlineCorrect,Hydra-MR,HC2,0.8275362318840578
DistalPhalanxTW,HC2,Hydra-MR,0.6959232613908873
DodgerLoopDayNmv,RSTSF,Hydra-MR,0.5480519480519479
DodgerLoopGameNmv,PF,Hydra-MR,0.8653543307086615
DodgerLoopWeekendNmv,RSTSF,Hydra-MR,0.9809523809523806
ECG200,Hydra-MR,HC2,0.886666666666667
ECG5000,HC2,Hydra-MR,0.9475703703703702
ECGFiveDays,FreshPRINCE,Hydra-MR,0.9905923344947736
EOGHorizontalSignal,InceptionT,HC2,0.8149171270718232
EOGVerticalSignal,InceptionT,HC2,0.7862799263351749
Earthquakes,RSTSF,Hydra-MR,0.7479616306954437
ElectricDeviceDetection,Hydra-MR,HC2,0.8886058032554848
ElectricDevices,FreshPRINCE,Hydra-MR,0.9029265551376824
EthanolLevel,InceptionT,HC2,0.834533333333333
FaceAll,HC2,Hydra-MR,0.9843589743589743
FaceFour,RDST,Hydra-MR,0.9034090909090908
FacesUCR,InceptionT,Hydra-MR,0.970959349593496
FiftyWords,Hydra-MR,Hydra-MR,0.8455677655677659
Fish,HC2,Hydra-MR,0.9815238095238096
FloodModeling1Discrete,FreshPRINCE,Hydra-MR,0.9616418966737438
FloodModeling2Discrete,Hydra-MR,HC2,0.959370529327611
FloodModeling3Discrete,FreshPRINCE,Hydra-MR,0.9655011655011656
FordA,FreshPRINCE,Hydra-MR,0.9553535353535356
FordB,InceptionT,Hydra-MR,0.9311934156378602
FreezerRegularTrain,RSTSF,Hydra-MR,0.9984444444444448
FreezerSmallTrain,HC2,Hydra-MR,0.9881169590643272
GestureMidAirD1Eq,HC2,Hydra-MR,0.7735897435897436
GestureMidAirD2Eq,HC2,Hydra-MR,0.6366666666666665
GestureMidAirD3Eq,HC2,Hydra-MR,0.4846153846153846
GesturePebbleZ1Eq,RDST,Hydra-MR,0.9571705426356588
GesturePebbleZ2Eq,RDST,Hydra-MR,0.9679324894514773
GunPoint,HC2,Hydra-MR,0.996222222222222
GunPointAgeSpan,PF,Hydra-MR,0.9968354430379746
GunPointMaleVersusFemale,Hydra-MR,Hydra-MR,1.0
GunPointOldVersusYoung,Hydra-MR,Hydra-MR,1.0
Ham,WEASEL-D,Hydra-MR,0.8507936507936511
HandOutlines,Hydra-MR,HC2,0.9328828828828828
Haptics,RDST,HC2,0.5584415584415584
Herring,RDST,Hydra-MR,0.6307291666666667
HouseTwenty,HC2,Hydra-MR,0.981232492997199
InlineSkate,RSTSF,HC2,0.5310303030303031
InsectEPGRegularTrain,Hydra-MR,HC2,1.0
InsectEPGSmallTrain,PF,Hydra-MR,0.9847389558232932
InsectWingbeatSound,Hydra-MR,HC2,0.6625589225589225
ItalyPowerDemand,RSTSF,Hydra-MR,0.9648850016196956
KeplerLightCurves,FreshPRINCE,HC2,0.9654135338345868
LargeKitchenAppliances,InceptionT,Hydra-MR,0.9411555555555556
Lightning2,PF,Hydra-MR,0.7557377049180328
Lightning7,InceptionT,Hydra-MR,0.8036529680365297
Mallat,HC2,Hydra-MR,0.9527789623312012
Meat,HC2,Hydra-MR,0.9844444444444446
MedicalImages,RSTSF,Hydra-MR,0.8097807017543861
MelbournePedestrianNmv,RSTSF,HC2,0.9380336351875812
MiddlePhalanxOutlineAgeGroup,WEASEL-D,Hydra-MR,0.6569264069264069
MiddlePhalanxOutlineCorrect,Hydra-MR,HC2,0.8335624284077896
MiddlePhalanxTW,RSTSF,Hydra-MR,0.5471861471861471
MixedShapesRegularTrain,Hydra-MR,HC2,0.9739243986254296
MixedShapesSmallTrain,Hydra-MR,HC2,0.952426116838488
MoteStrain,WEASEL-D,Hydra-MR,0.9039669861554844
NonInvasiveFetalECGThorax1,Hydra-MR,Hydra-MR,0.9601017811704834
NonInvasiveFetalECGThorax2,Hydra-MR,Hydra-MR,0.9681424936386768
OSULeaf,WEASEL-D,Hydra-MR,0.9694214876033058
OliveOil,WEASEL-D,Hydra-MR,0.8977777777777777
PLAIDEq,Hydra-MR,HC2,0.8875853507138423
PhalangesOutlinesCorrect,InceptionT,Hydra-MR,0.8594017094017092
PhoneHeartbeatSound,RDST,HC2,0.6452380952380952
Phoneme,HC2,Hydra-MR,0.3646097046413502
PickupGestureWiimoteZEq,Hydra-MR,HC2,0.7673333333333336
