dataset,best_estimator,predicted_estimator,rmse
AcousticContaminationMadrid-no-missing,FreshPRINCE,InceptionE,4.076598472430393
AluminiumConcentration,RotF,InceptionE,247.1979927969045
AppliancesEnergy,FreshPRINCE,InceptionE,4.233830273760562
BIDMC32HR,InceptionE,InceptionE,0.5783942758742192
BIDMC32RR,MultiROCKET,InceptionE,0.4994493877436099
BIDMC32SpO2,InceptionE,InceptionE,0.2868729593311348
BarCrawl6min,DrCIF,FreshPRINCE,0.045652221352232
BeijingIntAirportPM25Quality,RotF,InceptionE,50.83428843214202
BeijingPM10Quality-no-missing,InceptionE,InceptionE,63.84826493657735
BeijingPM25Quality-no-missing,InceptionE,InceptionE,40.36065176690217
BenzeneConcentration-no-missing,InceptionE,InceptionE,0.229160489580968
BinanceCoinSentiment,DrCIF,FreshPRINCE,0.3460514512760802
BitcoinSentiment,DrCIF,InceptionE,0.2184666955985393
BoronConcentration,InceptionE,InceptionE,1.7102203412704673
CalciumConcentration,RotF,InceptionE,2471.5024711713395
CardanoSentiment,RandF,InceptionE,0.3493698286151534
ChilledWaterPredictor,InceptionE,InceptionE,2146.7498911895887
CopperConcentration,DrCIF,InceptionE,1.840679374928508
Covid19Andalusia,FreshPRINCE,InceptionE,0.0174545671209575
Covid3Month,FreshPRINCE,InceptionE,0.0547209611276185
DailyOilGasPrices,FreshPRINCE,InceptionE,2.0303148094251298
DailyTemperatureLatitude,InceptionE,InceptionE,1.6159740412763297
DhakaHourlyAirQuality,FreshPRINCE,InceptionE,4.053259306181081
ElectricMotorTemperature,FreshPRINCE,InceptionE,4.728375238594748
ElectricityPredictor,RandF,InceptionE,589.4681400820284
EthereumSentiment,DrCIF,InceptionE,0.2519598944019685
FloodModeling1,InceptionE,InceptionE,0.006429460674923
FloodModeling2,MultiROCKET,InceptionE,0.0054770253620852
FloodModeling3,MultiROCKET,InceptionE,0.0063612726587229
GasSensorArrayAcetone,MultiROCKET,InceptionE,0.2728396949299533
GasSensorArrayEthanol,RotF,InceptionE,0.3292799579339202
HotwaterPredictor,InceptionE,InceptionE,1156.251419929819
HouseholdPowerConsumption1-no-missing,FreshPRINCE,InceptionE,104.4057823639218
HouseholdPowerConsumption2-no-missing,MultiROCKET,InceptionE,30.61303779453938
IEEEPPG,InceptionE,InceptionE,3.698176360187517
IronConcentration,MultiROCKET,InceptionE,64.44217143131249
LPGasMonitoringHomeActivity,DrCIF,InceptionE,1.294682407509683
LiveFuelMoistureContent,DrCIF,InceptionE,44.80283900848645
MadridPM10Quality-no-missing,InceptionE,InceptionE,6.951213912653612
MagnesiumConcentration,InceptionE,InceptionE,127.51011959825036
ManganeseConcentration,RotF,InceptionE,85.29851986156606
MethaneMonitoringHomeActivity,DrCIF,InceptionE,0.5571526166705626
MetroInterstateTrafficVolume,DrCIF,InceptionE,4738.932771160809
NaturalGasPricesSentiment,TSF,InceptionE,0.1507873870241266
NewsHeadlineSentiment,TSF,InceptionE,0.1434655316051152
NewsTitleSentiment,TSF,InceptionE,0.1384674942234113
OccupancyDetectionLight,FreshPRINCE,InceptionE,85.65542644246801
PPGDalia-equal-length,InceptionE,InceptionE,6.680548130643419
ParkingBirmingham-equal-length,RotF,InceptionE,0.1299165196435988
PhosphorusConcentration,InceptionE,InceptionE,17.76582541053559
PotassiumConcentration,DrCIF,InceptionE,172.41864902727548
PrecipitationAndalusia-no-missing,ROCKET,InceptionE,0.3793916959513392
SierraNevadaMountainsSnow,InceptionE,InceptionE,33.83379520366146
SodiumConcentration,DrCIF,InceptionE,382.1992831891184
SolarRadiationAndalusia-no-missing,FreshPRINCE,InceptionE,0.654304060278608
SteamPredictor,InceptionE,InceptionE,29704.370205910363
SulphurConcentration,DrCIF,InceptionE,206.5099142693503
TetuanEnergyConsumption,DrCIF,InceptionE,10216.802082536957
VentilatorPressure,InceptionE,InceptionE,0.3761823651579164
WaveDataTension,FreshPRINCE,InceptionE,16.871449288280683
WindTurbinePower,FreshPRINCE,InceptionE,283.4952466199442
ZincConcentration,MultiROCKET,InceptionE,1.5427919291020114
