dataset,best_estimator,predicted_estimator,rmse
AcousticContaminationMadrid-no-missing,FreshPRINCE,ROCKET,4.632819272992504
AluminiumConcentration,RotF,RotF,234.09293277349693
AppliancesEnergy,FreshPRINCE,ROCKET,2.768554798287912
BIDMC32HR,InceptionE,MultiROCKET,0.7283464335021184
BIDMC32RR,MultiROCKET,InceptionE,0.4994493877436099
BIDMC32SpO2,InceptionE,MultiROCKET,0.3372786222049849
BarCrawl6min,DrCIF,FreshPRINCE,0.045652221352232
BeijingIntAirportPM25Quality,RotF,ROCKET,60.84681768460791
BeijingPM10Quality-no-missing,InceptionE,InceptionE,63.84826493657735
BeijingPM25Quality-no-missing,InceptionE,InceptionE,40.36065176690217
BenzeneConcentration-no-missing,InceptionE,TSF,4.189509524846909
BinanceCoinSentiment,DrCIF,FreshPRINCE,0.3460514512760802
BitcoinSentiment,DrCIF,RandF,0.200167787527421
BoronConcentration,InceptionE,MultiROCKET,2.026824124822168
CalciumConcentration,RotF,InceptionE,2471.5024711713395
CardanoSentiment,RandF,FreshPRINCE,0.3017265538661762
ChilledWaterPredictor,InceptionE,InceptionE,2146.7498911895887
CopperConcentration,DrCIF,MultiROCKET,1.8385082488951927
Covid19Andalusia,FreshPRINCE,ROCKET,0.0142024675538841
Covid3Month,FreshPRINCE,TSF,0.0389510199071859
DailyOilGasPrices,FreshPRINCE,DrCIF,1.5944423247384338
DailyTemperatureLatitude,InceptionE,TSF,2.1518059024418856
DhakaHourlyAirQuality,FreshPRINCE,ROCKET,46.89615555357173
ElectricMotorTemperature,FreshPRINCE,TSF,8.869247128196537
ElectricityPredictor,RandF,ROCKET,575.695826721659
EthereumSentiment,DrCIF,RandF,0.2336195512092392
FloodModeling1,InceptionE,ROCKET,0.0173039388413887
FloodModeling2,MultiROCKET,ROCKET,0.0092737282653969
FloodModeling3,MultiROCKET,ROCKET,0.0172909117102322
GasSensorArrayAcetone,MultiROCKET,RotF,0.1930651298843828
GasSensorArrayEthanol,RotF,MultiROCKET,0.1566687944991748
HotwaterPredictor,InceptionE,InceptionE,1156.251419929819
HouseholdPowerConsumption1-no-missing,FreshPRINCE,RotF,199.23459859946703
HouseholdPowerConsumption2-no-missing,MultiROCKET,ROCKET,30.675484876038315
IEEEPPG,InceptionE,ROCKET,7.1597206140516345
IronConcentration,MultiROCKET,ROCKET,59.65266684206322
LPGasMonitoringHomeActivity,DrCIF,ROCKET,1.3494834647414118
LiveFuelMoistureContent,DrCIF,FreshPRINCE,41.17282831020327
MadridPM10Quality-no-missing,InceptionE,TSF,9.062433218216622
MagnesiumConcentration,InceptionE,RotF,166.50494310638854
ManganeseConcentration,RotF,ROCKET,87.29099568455068
MethaneMonitoringHomeActivity,DrCIF,ROCKET,0.6238933391999234
MetroInterstateTrafficVolume,DrCIF,InceptionE,4738.932771160809
NaturalGasPricesSentiment,TSF,ROCKET,0.0908798380446315
NewsHeadlineSentiment,TSF,TSF,0.142229707280456
NewsTitleSentiment,TSF,TSF,0.1371251077023674
OccupancyDetectionLight,FreshPRINCE,ROCKET,111.42290524947391
PPGDalia-equal-length,InceptionE,TSF,15.382695492586002
ParkingBirmingham-equal-length,RotF,ROCKET,0.1756885095732078
PhosphorusConcentration,InceptionE,MultiROCKET,18.97688136117791
PotassiumConcentration,DrCIF,RotF,186.2389511846572
PrecipitationAndalusia-no-missing,ROCKET,TSF,0.402333732496905
SierraNevadaMountainsSnow,InceptionE,ROCKET,68.54777467484011
SodiumConcentration,DrCIF,RotF,652.7057211233224
SolarRadiationAndalusia-no-missing,FreshPRINCE,ROCKET,0.6446098661272754
SteamPredictor,InceptionE,RotF,31524.692670528377
SulphurConcentration,DrCIF,RotF,215.0778565912935
TetuanEnergyConsumption,DrCIF,InceptionE,10216.802082536957
VentilatorPressure,InceptionE,TSF,1.8483277241546865
WaveDataTension,FreshPRINCE,InceptionE,16.871449288280683
WindTurbinePower,FreshPRINCE,RandF,106.01882673375624
ZincConcentration,MultiROCKET,ROCKET,1.489651766249414
