dataset,best_estimator,predicted_estimator,rmse
AcousticContaminationMadrid-no-missing,FreshPRINCE,MultiROCKET,4.263101314422104
AluminiumConcentration,RotF,MultiROCKET,247.97272863909052
AppliancesEnergy,FreshPRINCE,MultiROCKET,2.903262102783747
BIDMC32HR,InceptionE,MultiROCKET,0.7283464335021184
BIDMC32RR,MultiROCKET,MultiROCKET,0.4914080439353886
BIDMC32SpO2,InceptionE,MultiROCKET,0.3372786222049849
BarCrawl6min,DrCIF,DrCIF,0.0447971971545257
BeijingIntAirportPM25Quality,RotF,FreshPRINCE,50.371715529089805
BeijingPM10Quality-no-missing,InceptionE,FreshPRINCE,66.50944565185337
BeijingPM25Quality-no-missing,InceptionE,FreshPRINCE,43.4187288002144
BenzeneConcentration-no-missing,InceptionE,MultiROCKET,1.3491335272756295
BinanceCoinSentiment,DrCIF,InceptionE,0.3776832852496398
BitcoinSentiment,DrCIF,InceptionE,0.2184666955985393
BoronConcentration,InceptionE,MultiROCKET,2.026824124822168
CalciumConcentration,RotF,MultiROCKET,2050.0483364474176
CardanoSentiment,RandF,FreshPRINCE,0.3017265538661762
ChilledWaterPredictor,InceptionE,MultiROCKET,2419.593925330006
CopperConcentration,DrCIF,MultiROCKET,1.8385082488951927
Covid19Andalusia,FreshPRINCE,MultiROCKET,0.0130225294260812
Covid3Month,FreshPRINCE,MultiROCKET,0.187979420977048
DailyOilGasPrices,FreshPRINCE,FreshPRINCE,1.490441862151815
DailyTemperatureLatitude,InceptionE,MultiROCKET,2.903165534792264
DhakaHourlyAirQuality,FreshPRINCE,FreshPRINCE,1.78426965652235
ElectricMotorTemperature,FreshPRINCE,FreshPRINCE,4.650170189747159
ElectricityPredictor,RandF,MultiROCKET,596.3895995294836
EthereumSentiment,DrCIF,InceptionE,0.2519598944019685
FloodModeling1,InceptionE,MultiROCKET,0.0116173312567744
FloodModeling2,MultiROCKET,MultiROCKET,0.0040494993737026
FloodModeling3,MultiROCKET,MultiROCKET,0.0051343888479314
GasSensorArrayAcetone,MultiROCKET,MultiROCKET,0.1434522237256383
GasSensorArrayEthanol,RotF,MultiROCKET,0.1566687944991748
HotwaterPredictor,InceptionE,MultiROCKET,1252.54513734923
HouseholdPowerConsumption1-no-missing,FreshPRINCE,MultiROCKET,148.00899903915354
HouseholdPowerConsumption2-no-missing,MultiROCKET,MultiROCKET,28.23567982534257
IEEEPPG,InceptionE,MultiROCKET,8.771683601179326
IronConcentration,MultiROCKET,MultiROCKET,59.62378740569845
LPGasMonitoringHomeActivity,DrCIF,MultiROCKET,1.357416468060476
LiveFuelMoistureContent,DrCIF,MultiROCKET,47.8935723222601
MadridPM10Quality-no-missing,InceptionE,MultiROCKET,7.934148987581661
MagnesiumConcentration,InceptionE,MultiROCKET,133.21275369917396
ManganeseConcentration,RotF,MultiROCKET,87.76920410551212
MethaneMonitoringHomeActivity,DrCIF,MultiROCKET,0.5761072002463982
MetroInterstateTrafficVolume,DrCIF,FreshPRINCE,559.270839378965
NaturalGasPricesSentiment,TSF,InceptionE,0.1507873870241266
NewsHeadlineSentiment,TSF,TSF,0.142229707280456
NewsTitleSentiment,TSF,TSF,0.1371251077023674
OccupancyDetectionLight,FreshPRINCE,FreshPRINCE,67.10728354862029
PPGDalia-equal-length,InceptionE,MultiROCKET,11.790562400889645
ParkingBirmingham-equal-length,RotF,FreshPRINCE,0.1145911218180744
PhosphorusConcentration,InceptionE,MultiROCKET,18.97688136117791
PotassiumConcentration,DrCIF,MultiROCKET,168.93013028049407
PrecipitationAndalusia-no-missing,ROCKET,MultiROCKET,0.3617442201323682
SierraNevadaMountainsSnow,InceptionE,TSF,51.80833719926543
SodiumConcentration,DrCIF,MultiROCKET,532.3539209803415
SolarRadiationAndalusia-no-missing,FreshPRINCE,MultiROCKET,0.6314988944072081
SteamPredictor,InceptionE,MultiROCKET,30576.846180374127
SulphurConcentration,DrCIF,MultiROCKET,213.84970055401263
TetuanEnergyConsumption,DrCIF,MultiROCKET,1529.3267182169463
VentilatorPressure,InceptionE,MultiROCKET,0.7505935582649435
WaveDataTension,FreshPRINCE,MultiROCKET,15.77115150007416
WindTurbinePower,FreshPRINCE,MultiROCKET,112.98943263210808
ZincConcentration,MultiROCKET,MultiROCKET,1.3815161749410665
