dataset,best_estimator,predicted_estimator,rmse
AcousticContaminationMadrid-no-missing,FreshPRINCE,InceptionE,4.076598472430393
AluminiumConcentration,RotF,DrCIF,245.19294513116984
AppliancesEnergy,FreshPRINCE,InceptionE,4.233830273760562
BIDMC32HR,InceptionE,InceptionE,0.5783942758742192
BIDMC32RR,MultiROCKET,InceptionE,0.4994493877436099
BIDMC32SpO2,InceptionE,InceptionE,0.2868729593311348
BarCrawl6min,DrCIF,DrCIF,0.0447971971545257
BeijingIntAirportPM25Quality,RotF,InceptionE,50.83428843214202
BeijingPM10Quality-no-missing,InceptionE,InceptionE,63.84826493657735
BeijingPM25Quality-no-missing,InceptionE,InceptionE,40.36065176690217
BenzeneConcentration-no-missing,InceptionE,DrCIF,3.66604308552727
BinanceCoinSentiment,DrCIF,DrCIF,0.3448161943769282
BitcoinSentiment,DrCIF,DrCIF,0.1970547955872114
BoronConcentration,InceptionE,DrCIF,1.762709178544213
CalciumConcentration,RotF,DrCIF,1938.7468849226427
CardanoSentiment,RandF,DrCIF,0.2973890029669043
ChilledWaterPredictor,InceptionE,InceptionE,2146.7498911895887
CopperConcentration,DrCIF,InceptionE,1.840679374928508
Covid19Andalusia,FreshPRINCE,InceptionE,0.0174545671209575
Covid3Month,FreshPRINCE,DrCIF,0.0397730281788886
DailyOilGasPrices,FreshPRINCE,DrCIF,1.5944423247384338
DailyTemperatureLatitude,InceptionE,InceptionE,1.6159740412763297
DhakaHourlyAirQuality,FreshPRINCE,InceptionE,4.053259306181081
ElectricMotorTemperature,FreshPRINCE,DrCIF,4.656283975192948
ElectricityPredictor,RandF,InceptionE,589.4681400820284
EthereumSentiment,DrCIF,DrCIF,0.2234477453573485
FloodModeling1,InceptionE,InceptionE,0.006429460674923
FloodModeling2,MultiROCKET,InceptionE,0.0054770253620852
FloodModeling3,MultiROCKET,InceptionE,0.0063612726587229
GasSensorArrayAcetone,MultiROCKET,InceptionE,0.2728396949299533
GasSensorArrayEthanol,RotF,InceptionE,0.3292799579339202
HotwaterPredictor,InceptionE,InceptionE,1156.251419929819
HouseholdPowerConsumption1-no-missing,FreshPRINCE,InceptionE,104.4057823639218
HouseholdPowerConsumption2-no-missing,MultiROCKET,InceptionE,30.61303779453938
IEEEPPG,InceptionE,DrCIF,12.474584903133808
IronConcentration,MultiROCKET,DrCIF,62.132096835507255
LPGasMonitoringHomeActivity,DrCIF,FreshPRINCE,1.2957059066628205
LiveFuelMoistureContent,DrCIF,DrCIF,40.610073264517226
MadridPM10Quality-no-missing,InceptionE,InceptionE,6.951213912653612
MagnesiumConcentration,InceptionE,DrCIF,160.8196348733945
ManganeseConcentration,RotF,DrCIF,81.28308456910825
MethaneMonitoringHomeActivity,DrCIF,DrCIF,0.5052408126660775
MetroInterstateTrafficVolume,DrCIF,InceptionE,4738.932771160809
NaturalGasPricesSentiment,TSF,InceptionE,0.1507873870241266
NewsHeadlineSentiment,TSF,InceptionE,0.1434655316051152
NewsTitleSentiment,TSF,InceptionE,0.1384674942234113
OccupancyDetectionLight,FreshPRINCE,DrCIF,80.54537197094061
PPGDalia-equal-length,InceptionE,DrCIF,11.66921973253602
ParkingBirmingham-equal-length,RotF,DrCIF,0.1169744742740565
PhosphorusConcentration,InceptionE,DrCIF,19.0639324207586
PotassiumConcentration,DrCIF,InceptionE,172.41864902727548
PrecipitationAndalusia-no-missing,ROCKET,InceptionE,0.3793916959513392
SierraNevadaMountainsSnow,InceptionE,InceptionE,33.83379520366146
SodiumConcentration,DrCIF,InceptionE,382.1992831891184
SolarRadiationAndalusia-no-missing,FreshPRINCE,DrCIF,0.6216145843067189
SteamPredictor,InceptionE,InceptionE,29704.370205910363
SulphurConcentration,DrCIF,DrCIF,206.0873049066288
TetuanEnergyConsumption,DrCIF,DrCIF,1221.9210712513586
VentilatorPressure,InceptionE,DrCIF,0.6166131858681151
WaveDataTension,FreshPRINCE,InceptionE,16.871449288280683
WindTurbinePower,FreshPRINCE,DrCIF,97.85141544533722
ZincConcentration,MultiROCKET,DrCIF,1.429352328589416
