dataset,best_estimator,predicted_estimator,rmse
AcousticContaminationMadrid-no-missing,FreshPRINCE,TSF,4.602418792161685
AluminiumConcentration,RotF,InceptionE,247.1979927969045
AppliancesEnergy,FreshPRINCE,DrCIF,2.4046700560977268
BIDMC32HR,InceptionE,InceptionE,0.5783942758742192
BIDMC32RR,MultiROCKET,InceptionE,0.4994493877436099
BIDMC32SpO2,InceptionE,InceptionE,0.2868729593311348
BarCrawl6min,DrCIF,InceptionE,0.0678642280641413
BeijingIntAirportPM25Quality,RotF,InceptionE,50.83428843214202
BeijingPM10Quality-no-missing,InceptionE,InceptionE,63.84826493657735
BeijingPM25Quality-no-missing,InceptionE,InceptionE,40.36065176690217
BenzeneConcentration-no-missing,InceptionE,InceptionE,0.229160489580968
BinanceCoinSentiment,DrCIF,DrCIF,0.3448161943769282
BitcoinSentiment,DrCIF,DrCIF,0.1970547955872114
BoronConcentration,InceptionE,RotF,1.885017573488672
CalciumConcentration,RotF,DrCIF,1938.7468849226427
CardanoSentiment,RandF,DrCIF,0.2973890029669043
ChilledWaterPredictor,InceptionE,InceptionE,2146.7498911895887
CopperConcentration,DrCIF,RotF,1.863294371383796
Covid19Andalusia,FreshPRINCE,InceptionE,0.0174545671209575
Covid3Month,FreshPRINCE,FreshPRINCE,0.0382991725229249
DailyOilGasPrices,FreshPRINCE,DrCIF,1.5944423247384338
DailyTemperatureLatitude,InceptionE,InceptionE,1.6159740412763297
DhakaHourlyAirQuality,FreshPRINCE,DrCIF,3.1710198556711484
ElectricMotorTemperature,FreshPRINCE,FreshPRINCE,4.650170189747159
ElectricityPredictor,RandF,InceptionE,589.4681400820284
EthereumSentiment,DrCIF,DrCIF,0.2234477453573485
FloodModeling1,InceptionE,MultiROCKET,0.0116173312567744
FloodModeling2,MultiROCKET,MultiROCKET,0.0040494993737026
FloodModeling3,MultiROCKET,InceptionE,0.0063612726587229
GasSensorArrayAcetone,MultiROCKET,RotF,0.1930651298843828
GasSensorArrayEthanol,RotF,MultiROCKET,0.1566687944991748
HotwaterPredictor,InceptionE,InceptionE,1156.251419929819
HouseholdPowerConsumption1-no-missing,FreshPRINCE,MultiROCKET,148.00899903915354
HouseholdPowerConsumption2-no-missing,MultiROCKET,FreshPRINCE,29.39287417621664
IEEEPPG,InceptionE,InceptionE,3.698176360187517
IronConcentration,MultiROCKET,RotF,61.92113524676817
LPGasMonitoringHomeActivity,DrCIF,DrCIF,1.2620080684903343
LiveFuelMoistureContent,DrCIF,RandF,41.31614902732834
MadridPM10Quality-no-missing,InceptionE,TSF,9.062433218216622
MagnesiumConcentration,InceptionE,DrCIF,160.8196348733945
ManganeseConcentration,RotF,MultiROCKET,87.76920410551212
MethaneMonitoringHomeActivity,DrCIF,DrCIF,0.5052408126660775
MetroInterstateTrafficVolume,DrCIF,RotF,567.4640098053052
NaturalGasPricesSentiment,TSF,RotF,0.058588413036955
NewsHeadlineSentiment,TSF,TSF,0.142229707280456
NewsTitleSentiment,TSF,TSF,0.1371251077023674
OccupancyDetectionLight,FreshPRINCE,DrCIF,80.54537197094061
PPGDalia-equal-length,InceptionE,InceptionE,6.680548130643419
ParkingBirmingham-equal-length,RotF,TSF,0.1205556566975378
PhosphorusConcentration,InceptionE,DrCIF,19.0639324207586
PotassiumConcentration,DrCIF,InceptionE,172.41864902727548
PrecipitationAndalusia-no-missing,ROCKET,FreshPRINCE,0.3612929521146245
SierraNevadaMountainsSnow,InceptionE,TSF,51.80833719926543
SodiumConcentration,DrCIF,RotF,652.7057211233224
SolarRadiationAndalusia-no-missing,FreshPRINCE,FreshPRINCE,0.6195325190618668
SteamPredictor,InceptionE,InceptionE,29704.370205910363
SulphurConcentration,DrCIF,RotF,215.0778565912935
TetuanEnergyConsumption,DrCIF,FreshPRINCE,1283.482888464013
VentilatorPressure,InceptionE,FreshPRINCE,0.6015145405477885
WaveDataTension,FreshPRINCE,TSF,15.435327061576938
WindTurbinePower,FreshPRINCE,RandF,106.01882673375624
ZincConcentration,MultiROCKET,DrCIF,1.429352328589416
