dataset,best_estimator,predicted_estimator,rmse
AcousticContaminationMadrid-no-missing,FreshPRINCE,DrCIF,4.1199961019160645
AluminiumConcentration,RotF,DrCIF,245.19294513116984
AppliancesEnergy,FreshPRINCE,InceptionE,4.233830273760562
BIDMC32HR,InceptionE,InceptionE,0.5783942758742192
BIDMC32RR,MultiROCKET,InceptionE,0.4994493877436099
BIDMC32SpO2,InceptionE,InceptionE,0.2868729593311348
BarCrawl6min,DrCIF,InceptionE,0.0678642280641413
BeijingIntAirportPM25Quality,RotF,FreshPRINCE,50.371715529089805
BeijingPM10Quality-no-missing,InceptionE,FreshPRINCE,66.50944565185337
BeijingPM25Quality-no-missing,InceptionE,FreshPRINCE,43.4187288002144
BenzeneConcentration-no-missing,InceptionE,InceptionE,0.229160489580968
BinanceCoinSentiment,DrCIF,DrCIF,0.3448161943769282
BitcoinSentiment,DrCIF,DrCIF,0.1970547955872114
BoronConcentration,InceptionE,DrCIF,1.762709178544213
CalciumConcentration,RotF,DrCIF,1938.7468849226427
CardanoSentiment,RandF,FreshPRINCE,0.3017265538661762
ChilledWaterPredictor,InceptionE,InceptionE,2146.7498911895887
CopperConcentration,DrCIF,MultiROCKET,1.8385082488951927
Covid19Andalusia,FreshPRINCE,FreshPRINCE,0.0126102784616001
Covid3Month,FreshPRINCE,InceptionE,0.0547209611276185
DailyOilGasPrices,FreshPRINCE,DrCIF,1.5944423247384338
DailyTemperatureLatitude,InceptionE,InceptionE,1.6159740412763297
DhakaHourlyAirQuality,FreshPRINCE,InceptionE,4.053259306181081
ElectricMotorTemperature,FreshPRINCE,InceptionE,4.728375238594748
ElectricityPredictor,RandF,InceptionE,589.4681400820284
EthereumSentiment,DrCIF,DrCIF,0.2234477453573485
FloodModeling1,InceptionE,MultiROCKET,0.0116173312567744
FloodModeling2,MultiROCKET,InceptionE,0.0054770253620852
FloodModeling3,MultiROCKET,InceptionE,0.0063612726587229
GasSensorArrayAcetone,MultiROCKET,InceptionE,0.2728396949299533
GasSensorArrayEthanol,RotF,InceptionE,0.3292799579339202
HotwaterPredictor,InceptionE,InceptionE,1156.251419929819
HouseholdPowerConsumption1-no-missing,FreshPRINCE,InceptionE,104.4057823639218
HouseholdPowerConsumption2-no-missing,MultiROCKET,FreshPRINCE,29.39287417621664
IEEEPPG,InceptionE,FreshPRINCE,10.115907345208967
IronConcentration,MultiROCKET,DrCIF,62.132096835507255
LPGasMonitoringHomeActivity,DrCIF,FreshPRINCE,1.2957059066628205
LiveFuelMoistureContent,DrCIF,DrCIF,40.610073264517226
MadridPM10Quality-no-missing,InceptionE,FreshPRINCE,8.21294264577299
MagnesiumConcentration,InceptionE,InceptionE,127.51011959825036
ManganeseConcentration,RotF,DrCIF,81.28308456910825
MethaneMonitoringHomeActivity,DrCIF,MultiROCKET,0.5761072002463982
MetroInterstateTrafficVolume,DrCIF,FreshPRINCE,559.270839378965
NaturalGasPricesSentiment,TSF,FreshPRINCE,0.0592353517824575
NewsHeadlineSentiment,TSF,InceptionE,0.1434655316051152
NewsTitleSentiment,TSF,InceptionE,0.1384674942234113
OccupancyDetectionLight,FreshPRINCE,InceptionE,85.65542644246801
PPGDalia-equal-length,InceptionE,InceptionE,6.680548130643419
ParkingBirmingham-equal-length,RotF,FreshPRINCE,0.1145911218180744
PhosphorusConcentration,InceptionE,InceptionE,17.76582541053559
PotassiumConcentration,DrCIF,InceptionE,172.41864902727548
PrecipitationAndalusia-no-missing,ROCKET,InceptionE,0.3793916959513392
SierraNevadaMountainsSnow,InceptionE,FreshPRINCE,36.92058234457665
SodiumConcentration,DrCIF,MultiROCKET,532.3539209803415
SolarRadiationAndalusia-no-missing,FreshPRINCE,FreshPRINCE,0.6195325190618668
SteamPredictor,InceptionE,DrCIF,31131.866345589173
SulphurConcentration,DrCIF,MultiROCKET,213.84970055401263
TetuanEnergyConsumption,DrCIF,FreshPRINCE,1283.482888464013
VentilatorPressure,InceptionE,InceptionE,0.3761823651579164
WaveDataTension,FreshPRINCE,DrCIF,15.17910869667976
WindTurbinePower,FreshPRINCE,InceptionE,283.4952466199442
ZincConcentration,MultiROCKET,DrCIF,1.429352328589416
